anio,fuente,institucion,instrumento,principal,intereses,comisiones
2012,Interna,RSPNF,Otros Instrumentos Internos,417.96,0,0
2012,Interna,RSPNF,Banca Doméstica,861.36,40.46,0
2012,Interna,GC,Bonos Domésticos,168.64,783.6,0.26
2012,Interna,GC,Banca Doméstica,502.89,146.68,0
2012,Externa,GC,Organismos Multilaterales,499.48,123.34,2.93
2012,Externa,GC,Bonos Soberanos,77.63,226.47,1.7
2012,Externa,GC,Bilaterales,429.82,112.6,1.03
2012,Externa,GC,Banca Comercial,89.81,17.62,0
2013,Interna,RSPNF,Otros Instrumentos Internos,9.36,0,0
2013,Interna,RSPNF,Banca Doméstica,422.02,16.02,0
2013,Interna,GC,Bonos Domésticos,131.81,745.02,0.27
2013,Interna,GC,Banca Doméstica,1073.1,158.71,0
2013,Externa,GC,Organismos Multilaterales,893,115.1,1.62
2013,Externa,GC,Bonos Soberanos,128.2,327.15,2.06
2013,Externa,GC,Bilaterales,472.07,112.39,3.07
2013,Externa,GC,Banca Comercial,209.04,43.21,0.24
2014,Interna,RSPNF,Otros Instrumentos Internos,9.36,0,0
2014,Interna,RSPNF,Banca Doméstica,438.05,161.4,22.75
2014,Interna,GC,Bonos Domésticos,877.09,206.5,0.3
2014,Interna,GC,Banca Doméstica,1231.81,208.1,0
2014,Externa,GC,Organismos Multilaterales,1009.72,426.89,2
2014,Externa,GC,Bonos Soberanos,457.41,128.2,4.47
2014,Externa,GC,Bilaterales,587.53,2302.2,13.91
2014,Externa,GC,Banca Comercial,252.49,310.3,0.16
2015,Interna,RSPNF,Otros Instrumentos Internos,0,0,0
2015,Interna,RSPNF,Banca Doméstica,184.14,530.43,38.49
2015,Interna,GC,Bonos Domésticos,934.86,214.62,0.4
2015,Interna,GC,Banca Doméstica,285.33,99.36,0
2015,Externa,GC,Organismos Multilaterales,532.09,244.97,4.55
2015,Externa,GC,Bonos Soberanos,622.11,128.2,2.26
2015,Externa,GC,Bilaterales,2408.23,308.84,13.45
2015,Externa,GC,Banca Comercial,386.74,314.7,0
2016,Interna,RSPNF,Otros Instrumentos Internos,798.55,0,0
2016,Interna,RSPNF,Banca Doméstica,568.92,752.17,46.38
2016,Interna,GC,Bonos Domésticos,971.24,154.13,0.45
2016,Interna,GC,Banca Doméstica,189.56,72.13,0
2016,Externa,GC,Organismos Multilaterales,371.03,228.01,2.82
2016,Externa,GC,Bonos Soberanos,769.68,140.28,2.11
2016,Externa,GC,Bilaterales,409.8,278.4,4.22
2016,Externa,GC,Banca Comercial,378.45,244.91,0
