Pais_Encuesta,porcentaje
Canadá,56.9
Estados Unidos,46.5
México,35.6
Aruba,50
Islas Turcas y Caicos,3.6
Costa Rica,36.7
Cuba,42.8
Curazao,20.7
El Salvador,36.4
Guadalupe,18.2
Guatemala,45.1
Haití,0
Honduras,71.4
Jamaica,32.2
Martinica,0
Panamá,47.8
Puerto Rico,42.5
San Martín,0
Islas Vírgenes Americanas,20
Argentina,61
Bolivia,80.6
Brasil,69.5
Chile,61
Colombia,65.4
Ecuador,51.2
Perú,81.5
Uruguay,84.9
Venezuela,13.2
Corea del Sur,50
Japón,0
Alemania,59.6
Austria,50
Bélgica,77
Dinamarca,100
Escocia,100
España,36.4
Finlandia,100
Francia,55.5
Grecia,0
Holanda,36.4
Reino Unido,83.4
Italia,53
Polonia,80
Portugal,75
República Checa,0
Rumanía,50
Rusia,25
Suecia,50
