year,month,L1,L2,TF,total
2019,1,4165544,3695166,333639,8194349
2019,2,4594944,3762586,321263,8678793
2019,3,4980635,4188468,169075,9338178
2019,4,4189568,3620459,292944,8102971
2019,5,4578121,4073170,331154,8982445
2019,6,4123817,3714909,315802,8154528
2019,7,4387288,4018263,336160,8741711
2019,8,4291190,3912219,336321,8539730
2019,9,4625761,3954155,323733,8903649
2019,10,5104634,4406068,344983,9855685
2019,11,4707281,4208926,302565,9218772
2019,12,4016948,4059505,337596,8414049
2020,1,4309568,3988460,317168,8615196
2020,2,4726431,4121577,315652,9163660
2020,3,2705225,2449297,188852,5343374
2020,4,0,0,0,0
2020,5,322816,315817,26983,665616
2020,6,1269492,1259545,134377,2663414
2020,7,1559078,1574020,160511,3293609
2020,8,1638117,1601681,166149,3405947
2020,9,1861996,1819805,195066,3876867
2020,10,2256884,2218561,232421,4707866
2020,11,2244570,2240015,224733,4709318
2020,12,2522438,2581349,263139,5366926
2021,1,1961007,1915823,206852,4083682
2021,2,2309073,2283265,244560,4836898
2021,3,2772773,2801442,257058,5831273
2021,4,2590956,2625392,245321,5461669
2021,5,2853360,2893711,279228,6026299
2021,6,2560540,2634978,249893,5445411
2021,7,2861131,2993075,283989,6138195
2021,8,2916543,3008085,276005,6200633
2021,9,3177721,3267640,294782,6740143
2021,10,3301439,3370612,305783,6977834
2021,11,3336219,3422236,306692,7065147
2021,12,3326802,3546807,326132,7199741
2022,1,2852324,2941977,272464,6066765
2022,2,3338509,3402145,296115,7036769
2022,3,3894252,3959379,339485,8193116
2022,4,3391050,3515170,251682,7157902
2022,5,3874236,3955161,320093,8149490
2022,6,3745784,3829625,315864,7891273
2022,7,3958368,4004601,328205,8291174
2022,8,4111449,4103072,335213,8549734
2022,9,4220663,4044389,320434,8585486
2022,10,4550901,4420840,351091,9322832
2022,11,4505323,4447850,346666,9299839
2022,12,4098416,4385441,365345,8849202
2023,1,3864991,3944594,316067,8125652
2023,2,4377301,4136735,314440,8828476
2023,3,4960391,4735092,349638,10045121
2023,4,3875702,3942439,246921,8065062
2023,5,4412413,4436439,311567,9160419
2023,6,4168678,4215005,302917,8686600
2023,7,4118187,4212640,290980,8621807
2023,8,3854535,4027986,272084,8154605
2023,9,4571789,4359058,305243,9236090
2023,10,4925721,4620281,313809,9859811
2023,11,4510395,4405934,292464,9208793
2023,12,4129761,4321412,310082,8761255
2024,1,4092314,4271815,272357,8636486
2024,2,4636845,4426384,282163,9345392
2024,3,4523998,4415380,229372,9168750
2024,4,4626811,4469718,285839,9382368
2024,5,4528457,4519574,291789,9339820
2024,6,4101824,4183446,270499,8555769
2024,7,4306541,4427261,277141,9010943
2024,8,4300761,4348853,285785,8935399
2024,9,4570895,4353201,282779,9206875
2024,10,4994417,4801571,308215,10104203
2024,11,4485867,4424403,285833,9196103
2024,12,4051663,4398263,299706,8749632
2025,1,4101071,4236758,280809,8618638
2025,2,4458765,4265544,276462,9000771
2025,3,4883507,4699793,294271,9877571
2025,4,4183278,4190888,214955,8589121
2025,5,4436093,4482490,289794,9208377
2025,6,4077938,4173669,273100,8524707
2025,7,4055900,4440168,299974,8796042
2025,8,4115837,4238452,272823,8627112
2025,9,4482092,4337456,278094,9097642
2025,10,4409847,4290496,260232,8960575
2025,11,4209213,4174316,274696,8658225
2025,12,4094548,4389344,297028,8780920
