provincia,trabajadores,empleos,pct_empleo_nacional
DISTRITO NACIONAL,1087867,1161805,50.02
SANTO DOMINGO,301571,317870,13.68
SANTIAGO DE LOS CABALLEROS,252004,271344,11.68
ALTAGRACIA,83858,87709,3.78
SAN CRISTOBAL,55197,58250,2.51
LA VEGA,45588,48165,2.07
LA ROMANA,46491,48006,2.07
PUERTO PLATA,40177,42313,1.82
SAN PEDRO DE MACORIS,38708,41895,1.8
DUARTE,28958,34717,1.49
MONSENOR NOUEL,26540,28147,1.21
ESPAILLAT,24491,25308,1.09
VALVERDE,19487,20662,0.89
PERAVIA,14229,17320,0.75
HATO MAYOR,10814,15426,0.66
SAMANA,10329,14578,0.63
HERMANAS MIRABAL,9954,10944,0.47
SANCHEZ RAMIREZ,9136,10922,0.47
BARAHONA,9614,10524,0.45
MARIA TRINIDAD SANCHEZ,7752,9014,0.39
AZUA,7968,8744,0.38
MONTECRISTI,7736,8329,0.36
SANTIAGO RODRIGUEZ,7064,7328,0.32
SAN JUAN DE LA MAGUANA,6736,7077,0.3
DAJABON,2861,3011,0.13
BAHORUCO,1618,3010,0.13
MONTE PLATA,2859,2944,0.13
EL SEYBO,1985,2071,0.09
ELIAS PINA,1789,2048,0.09
SAN JOSE DE OCOA,1612,1655,0.07
PEDERNALES,1154,1181,0.05
INDEPENDENCIA,431,454,0.02
