PROV,TOPONIMIA,provincia,n_ponderado,formalidad_pct,cuenta_bancaria_pct
01,DISTRITO NACIONAL,Distrito Nacional,46499.93220043723,54.17042285964666,64.49211953858641
02,AZUA,Azua,8257.948036317957,24.278978535842956,53.57641521946278
03,BAORUCO,Baoruco,2839.8725457625737,37.804117903797604,55.42598341365071
04,BARAHONA,Barahona,8868.178968589818,18.886701598947816,43.48040580624188
05,DAJABÓN,Dajabón,2903.7305776196204,19.42396246111409,75.24481658538653
06,DUARTE,Duarte,13456.01854810396,32.21377289505405,68.41723197457257
07,ELÍAS PIÑA,Elías Piña,1378.7549778759526,7.7393938274640055,61.343644127742856
08,EL SEIBO,El Seibo,2130.1615213168698,23.229967599935968,53.617111348179535
09,ESPAILLAT,Espaillat,8546.727116088692,27.98831163274025,51.942169255856626
10,INDEPENDENCIA,Independencia,1468.8894268236854,58.43756890181585,61.58471845310245
11,LA ALTAGRACIA,La Altagracia,16467.685924721853,38.90243630942155,44.47805483396351
12,LA ROMANA,La Romana,13029.055137975574,23.192285119400076,60.314852514984565
13,LA VEGA,La Vega,15829.708632219872,33.19651944830565,52.16448082392324
14,MARÍA TRINIDAD SÁNCHEZ,Maria Trinidad Sánchez,6352.307066577414,30.787503704465554,79.21032845366305
15,MONTE CRISTI,Monte Cristi,3678.906368477286,28.218615177913204,77.84953395624761
16,PEDERNALES,Pedernales,967.8091325479838,9.151665628288514,64.86662880767385
17,PERAVIA,Peravia,8751.863116303524,20.62415402726886,52.217761311944834
18,PUERTO PLATA,Puerto Plata,13647.534583027778,34.064538153047465,58.81679728105211
19,HERMANAS MIRABAL,Hermanas Mirabal,4657.730404111215,32.29635567457957,73.41837667226815
20,SAMANÁ,Samana,5601.964583133575,16.2377899340381,64.835865727141055
21,SAN CRISTÓBAL,San Cristóbal,24926.775743620306,20.350974355013005,61.32059826146994
22,SAN JUAN,San Juan,11506.247367697673,24.313780701892046,65.22331617705439
23,SAN PEDRO DE MACORÍS,San Pedro de Macorís,11035.869865218274,23.552421739228464,60.676946082562054
24,SANCHEZ RAMÍREZ,Sánchez Ramírez,6706.287387130254,25.14352633883164,43.34204270816503
25,SANTIAGO,Santiago,49850.304502146675,36.14035633723105,61.106998042717585
26,SANTIAGO RODRÍGUEZ,Santiago Rodríguez,1430.4773632628148,31.502165978810737,60.20758903751593
27,VALVERDE,Valverde,5763.669234888595,35.35777278998363,76.50290168651789
28,MONSEÑOR NOUEL,Monseñor Nouel,10023.633633212075,27.89765386873762,47.214451184744696
29,MONTE PLATA,Monte Plata,5402.280740076078,21.744337511607593,54.3466914819174
30,HATO MAYOR,Hato Mayor,2323.946810691349,56.60474049352903,82.14619471188684
31,SAN JOSÉ DE OCOA,San Jose de Ocoa,2075.660684460554,49.66975606778141,41.2247815642381
32,SANTO DOMINGO,Santo Domingo,87552.06779956263,30.538941270887896,61.66555685610832
