id,region,provincia,rama,clasif,formalidad,edad_resp,educacion,ingresos,empleo,estatus,factor_exp,p7_1,src_banco,src_asoc,src_bahorros,src_coop,src_publico,src_promipyme,src_prestamista,src_familia,src_inversionista,src_proveedor,src_otros,bar_solicitado,bar_no_necesita,bar_desconoce,bar_no_darian,bar_monto_plazo,bar_intereses,bar_tramites,bar_lejos,bar_no_confia,bar_no_gusta,bar_no_pagaria,bar_otras,cuenta_bancaria
E1,Este,La Altagracia,Construcción,MEDIANA,Formal,40-59,Técnico Superior,109745000.0,15,Efectivas,7.5,Si,Si,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,Si
E2,Metropolitana,Santo Domingo,Industrias,MEDIANA,Formal,40-59,Universitaria,270994917.7,156,Efectivas,17.3125,Si,Si,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,Si
E3,Norte,Duarte,Comercio,MEDIANA,Formal,40-59,Universitaria,132401048.724,19,Efectivas,53.78571428571428,Si,Si,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,Si
E4,Metropolitana,Distrito Nacional,"Suministro de alimentos, bebidas y alojamiento de pequeña escala",MEDIANA,Formal,40-59,Universitaria,148075716.9,122,Efectivas,8.8,Si,Si,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,Si
E5,Metropolitana,Santo Domingo,Salud y asistencia social,PEQUEÑA,Formal,60 o más,Secundaria,41286046.0,44,Efectivas,3.85,Si,No,No,No,Si,No,No,No,No,No,No,No,,,,,,,,,,,,,Si
E6,Metropolitana,Distrito Nacional,Construcción,PEQUEÑA,Formal,60 o más,Universitaria,67637376.816,26,Efectivas,2.377049180327869,Si,Si,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,Si
E7,Este,La Altagracia,Otras actividades de servicios,PEQUEÑA,Informal,18-39,Técnico Superior,26658584.0,2,Efectivas,4.757575757575758,Si,Si,Si,Si,No,No,No,Si,No,No,No,No,,,,,,,,,,,,,Si
E8,Norte,Espaillat,Comercio,PEQUEÑA,Formal,60 o más,Universitaria,46475917.51,23,Efectivas,30.12,No,,,,,,,,,,,,No,Si,No,No,No,No,No,No,No,No,No,No,Si
E9,Sur,San Cristóbal,Comercio,MEDIANA,Formal,40-59,Universitaria,179796044.0,32,Efectivas,10.26315789473684,No,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,Si,No,Si
E10,Metropolitana,Distrito Nacional,Otras actividades de servicios,PEQUEÑA,Formal,40-59,Secundaria,26296540.064,19,Efectivas,15.27848101265823,Si,No,No,Si,No,No,No,No,No,No,No,No,,,,,,,,,,,,,Si
