periodo,tipoEntidad,entidad,region,provincia,codIso,tipoCartera,deuda,tasaPorDeuda,cantidadCredito
2016-01,BANCOS MÚLTIPLES,ADEMI,Región Metropolitana,DISTRITO NACIONAL,DO-01,Tarjetas de créditos,75743317.84000002,3655472559.3600006,4830
2016-01,BANCOS MÚLTIPLES,ADEMI,Región Metropolitana,DISTRITO NACIONAL,DO-01,Créditos Hipotecarios,207855299.41,3175047670.810001,149
2016-01,BANCOS MÚLTIPLES,ADEMI,Región Metropolitana,DISTRITO NACIONAL,DO-01,Créditos de consumo,434207611.78000003,9030307469.010498,5232
2016-01,BANCOS MÚLTIPLES,ADEMI,Región Metropolitana,DISTRITO NACIONAL,DO-01,Créditos comerciales,1853285029.9799995,36602222084.96058,13482
2016-01,BANCOS MÚLTIPLES,BANCAMERICA,Región Metropolitana,DISTRITO NACIONAL,DO-01,Créditos Hipotecarios,150214528.74,1992418703.4101,53
2016-01,BANCOS MÚLTIPLES,BANCAMERICA,Región Metropolitana,DISTRITO NACIONAL,DO-01,Tarjetas de créditos,356006605.9799999,19530165502.679996,13691
2016-01,BANCOS MÚLTIPLES,BANCAMERICA,Región Metropolitana,DISTRITO NACIONAL,DO-01,Créditos de consumo,458300602.3899998,9558585132.367899,6404
2016-01,BANCOS MÚLTIPLES,BANCAMERICA,Región Metropolitana,DISTRITO NACIONAL,DO-01,Créditos comerciales,1505957666.3700004,23309696074.371994,611
2016-01,BANCOS MÚLTIPLES,BANESCO,Región Metropolitana,DISTRITO NACIONAL,DO-01,Tarjetas de créditos,552536439.0899994,29371962313.44002,23445
2016-01,BANCOS MÚLTIPLES,BANESCO,Región Metropolitana,DISTRITO NACIONAL,DO-01,Créditos Hipotecarios,1229766406.9299996,10978570182.722498,256
2016-01,BANCOS MÚLTIPLES,BANESCO,Región Metropolitana,DISTRITO NACIONAL,DO-01,Créditos de consumo,1306018919.4399998,25270300517.078503,12947
2016-01,BANCOS MÚLTIPLES,BANESCO,Región Metropolitana,DISTRITO NACIONAL,DO-01,Créditos comerciales,5334651605.869998,55825004930.4471,923
2016-01,BANCOS MÚLTIPLES,BANRESERVAS,Región Metropolitana,DISTRITO NACIONAL,DO-01,Tarjetas de créditos,2254980050.680001,124649986604.39996,108358
2016-01,BANCOS MÚLTIPLES,BANRESERVAS,Región Metropolitana,DISTRITO NACIONAL,DO-01,Créditos de consumo,17346176968.69,251923658447.23248,176971
2016-01,BANCOS MÚLTIPLES,BANRESERVAS,Región Metropolitana,DISTRITO NACIONAL,DO-01,Créditos Hipotecarios,18928790280.960003,174775460392.19858,12338
