periodo,tipoEntidad,entidad,sectorEconomico,cantidadCredito,deuda,tasaPorDeuda,tasaPromedioPonderado,deudaCapital,deudaVencida,deudaVencidaDe31A90Dias,valorDesembolso,valorGarantia,valorProvisionCapitalYRendimiento
2016-01,BANCOS MÚLTIPLES,ADEMI,Q - ACTIVIDADES DE ORGANIZACIONES Y ÓRGANOS EXTRATERRITORIALES,3,49498.51,2123870.04,42.907757021372966,48470.03,0,0,10498.35,0,494.97
2016-01,BANCOS MÚLTIPLES,ADEMI,"P - ACTIVIDADES DE LOS HOGARES EN CALIDAD DE EMPLEADORES, ACTIVIDADES INDIFERENCIADAS DE PRODUCCIÓN DE BIENES Y SERVICIOS DE LOS HOGARES PARA USO PROPIO",167,4755933.050000002,154037999.1832,32.38859705630212,4659193.54,104764.68999999999,37353.52,468770.13000000006,5774084.87,92718.68000000002
2016-01,BANCOS MÚLTIPLES,ADEMI,L - ADMINISTRACIÓN PÚBLICA Y DEFENSA: PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA,121,9029100.969999995,280115748.1012,31.023658837342712,8783689.729999999,253403.83,103979.20999999999,597567.1,8582675,195012.11000000007
2016-01,BANCOS MÚLTIPLES,ADEMI,B - PESCA,264,11850383.430000005,354027323.81000006,29.874756871896416,11408699.250000002,576701.1699999999,54251.39,559677.51,2380843.08,516173.0399999997
2016-01,BANCOS MÚLTIPLES,ADEMI,C - EXPLOTACIÓN DE MINAS Y CANTERAS,39,26366890.61,434319379.08720005,16.472150073034342,25778668.9,63940.340000000004,26845.940000000002,179716.02,18307321.33,290927.82
2016-01,BANCOS MÚLTIPLES,ADEMI,M - ENSEÑANZA,872,141118358.60999995,2833953859.6828012,20.08210616674492,138247381.79999995,753092.54,217436.17999999996,2461426.8,550498610.3000001,2103753.449999999
2016-01,BANCOS MÚLTIPLES,ADEMI,"E - SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO",154,150634380.1,1500400046.6516001,9.960541847455714,149970469.3199999,616949.3099999999,23510.67,138933352.96999997,3577572.8,415998.82999999996
2016-01,BANCOS MÚLTIPLES,ADEMI,N - SERVICIOS SOCIALES Y RELACIONADOS CON LA SALUD HUMANA,1670,238133391.77,5312767856.1901,22.31004991236765,234496007.7399999,11006759.03,391984.3300000001,85420761.11999999,120668184.36,5583261.570000004
2016-01,BANCOS MÚLTIPLES,ADEMI,J - ACTIVIDADES FINANCIERAS Y DE SEGURO,314,435480916.99,6189280427.922803,14.212518129847073,430531919.90999967,2782808.5400000005,191735.14,22050519.049999997,142538128,6644311.5699999975
2016-01,BANCOS MÚLTIPLES,ADEMI,D - INDUSTRIA MANUFACTURERA,4791,472887030.28999954,10718109951.286602,22.6652652002608,463642603.6400003,12631783.49,1369733.680000001,22313001.250000004,495382893.03,13840913.340000004
