"row_id","period","year","month","series","value"
5,2018-01-01,2018,1,"Nacional",33464.2367438627
5,2018-01-01,2018,1,"Quintil 1",19402.4563301758
5,2018-01-01,2018,1,"Quintil 2",25438.9304920065
5,2018-01-01,2018,1,"Quintil 3",30444.9857526049
5,2018-01-01,2018,1,"Quintil 4",35856.2092375761
5,2018-01-01,2018,1,"Quintil 5",56195.9308221279
6,2018-02-01,2018,2,"Nacional",33427.7804903094
6,2018-02-01,2018,2,"Quintil 1",19345.2132863089
6,2018-02-01,2018,2,"Quintil 2",25384.4449069246
6,2018-02-01,2018,2,"Quintil 3",30393.3641968009
6,2018-02-01,2018,2,"Quintil 4",35820.0105329019
6,2018-02-01,2018,2,"Quintil 5",56200.3858665882
7,2018-03-01,2018,3,"Nacional",33552.7733596352
7,2018-03-01,2018,3,"Quintil 1",19439.1505890649
7,2018-03-01,2018,3,"Quintil 2",25497.3079045943
7,2018-03-01,2018,3,"Quintil 3",30515.3787832468
7,2018-03-01,2018,3,"Quintil 4",35950.8827728776
7,2018-03-01,2018,3,"Quintil 5",56378.5876449999
8,2018-04-01,2018,4,"Nacional",33685.5782832938
8,2018-04-01,2018,4,"Quintil 1",19491.9903218651
8,2018-04-01,2018,4,"Quintil 2",25571.2526272055
8,2018-04-01,2018,4,"Quintil 3",30618.6218948548
8,2018-04-01,2018,4,"Quintil 4",36087.3240443415
8,2018-04-01,2018,4,"Quintil 5",56650.3453570778
9,2018-05-01,2018,5,"Nacional",33774.1148990662
9,2018-05-01,2018,5,"Quintil 1",19515.4746475541
9,2018-05-01,2018,5,"Quintil 2",25619.9004710287
9,2018-05-01,2018,5,"Quintil 3",30693.7077942062
9,2018-05-01,2018,5,"Quintil 4",36187.5666111314
9,2018-05-01,2018,5,"Quintil 5",56837.45722441
10,2018-06-01,2018,6,"Nacional",33844.423388062
10,2018-06-01,2018,6,"Quintil 1",19571.2499210654
10,2018-06-01,2018,6,"Quintil 2",25691.8992798869
10,2018-06-01,2018,6,"Quintil 3",30768.7936935575
10,2018-06-01,2018,6,"Quintil 4",36257.1795047354
10,2018-06-01,2018,6,"Quintil 5",56922.1030691556
11,2018-07-01,2018,7,"Nacional",33839.21535184
11,2018-07-01,2018,7,"Quintil 1",19531.6201214653
11,2018-07-01,2018,7,"Quintil 2",25662.710573593
11,2018-07-01,2018,7,"Quintil 3",30747.6757843649
11,2018-07-01,2018,7,"Quintil 4",36257.1795047354
11,2018-07-01,2018,7,"Quintil 5",56975.5636026791
12,2018-08-01,2018,8,"Nacional",33849.6314242839
12,2018-08-01,2018,8,"Quintil 1",19475.8448479539
12,2018-08-01,2018,8,"Quintil 2",25614.0627297699
12,2018-08-01,2018,8,"Quintil 3",30724.2114408176
12,2018-08-01,2018,8,"Quintil 4",36271.1020834562
12,2018-08-01,2018,8,"Quintil 5",57104.7598920276
13,2018-09-01,2018,9,"Nacional",33875.6716053934
