"row_id","period","year","month","series","value"
4,2020-10-01,2020,10,"Región Este",33583.3273201717
4,2020-10-01,2020,10,"Región Norte o Cibao",34391.9188918662
4,2020-10-01,2020,10,"Región Ozama*",42975.9173538008
4,2020-10-01,2020,10,"Región Sur",28750.3047671318
5,2020-11-01,2020,11,"Región Este",33718.6501737471
5,2020-11-01,2020,11,"Región Norte o Cibao",34598.2017411094
5,2020-11-01,2020,11,"Región Ozama*",43229.3844584561
5,2020-11-01,2020,11,"Región Sur",28978.9789007544
6,2020-12-01,2020,12,"Región Este",33902.7074974594
6,2020-12-01,2020,12,"Región Norte o Cibao",34774.1864942396
6,2020-12-01,2020,12,"Región Ozama*",43423.5308900427
6,2020-12-01,2020,12,"Región Sur",29117.4501156015
8,2021-01-01,2021,1,"Región Este",34240.5259836358
8,2021-01-01,2021,1,"Región Norte o Cibao",35121.1469468057
8,2021-01-01,2021,1,"Región Ozama*",43800.5990130599
8,2021-01-01,2021,1,"Región Sur",29471.9364256098
9,2021-02-01,2021,2,"Región Este",34532.4115801778
9,2021-02-01,2021,2,"Región Norte o Cibao",35349.2258583578
9,2021-02-01,2021,2,"Región Ozama*",44080.8017858422
9,2021-02-01,2021,2,"Región Sur",29695.7059088026
10,2021-03-01,2021,3,"Región Este",34736.0148143729
10,2021-03-01,2021,3,"Región Norte o Cibao",35610.6984612059
10,2021-03-01,2021,3,"Región Ozama*",44293.6561176888
10,2021-03-01,2021,3,"Región Sur",29903.4127310731
11,2021-04-01,2021,4,"Región Este",34880.9803171197
11,2021-04-01,2021,4,"Región Norte o Cibao",35785.3474666843
11,2021-04-01,2021,4,"Región Ozama*",44447.0608998203
11,2021-04-01,2021,4,"Región Sur",30043.2686580686
12,2021-05-01,2021,5,"Región Este",35143.8728131124
12,2021-05-01,2021,5,"Región Norte o Cibao",36026.7838547548
12,2021-05-01,2021,5,"Región Ozama*",44683.1961742126
12,2021-05-01,2021,5,"Región Sur",30314.1183543094
13,2021-06-01,2021,6,"Región Este",35363.1127756936
13,2021-06-01,2021,6,"Región Norte o Cibao",36294.6012589492
13,2021-06-01,2021,6,"Región Ozama*",44912.2640196177
13,2021-06-01,2021,6,"Región Sur",30557.5507500105
14,2021-07-01,2021,7,"Región Este",35565.4129491898
14,2021-07-01,2021,7,"Región Norte o Cibao",36512.9960000255
14,2021-07-01,2021,7,"Región Ozama*",45117.2194602434
14,2021-07-01,2021,7,"Región Sur",30748.08714164
15,2021-08-01,2021,8,"Región Este",35836.7753397249
15,2021-08-01,2021,8,"Región Norte o Cibao",36831.2378780769
15,2021-08-01,2021,8,"Región Ozama*",45432.3436468443
15,2021-08-01,2021,8,"Región Sur",31055.2162961706
16,2021-09-01,2021,9,"Región Este",36027.6737321062
16,2021-09-01,2021,9,"Región Norte o Cibao",36999.2081452961
16,2021-09-01,2021,9,"Región Ozama*",45620.6698427945
16,2021-09-01,2021,9,"Región Sur",31208.3654597914
17,2021-10-01,2021,10,"Región Este",36250.4971116093
17,2021-10-01,2021,10,"Región Norte o Cibao",37248.3250823647
17,2021-10-01,2021,10,"Región Ozama*",45902.5355400444
17,2021-10-01,2021,10,"Región Sur",31414.1336850541
18,2021-11-01,2021,11,"Región Este",36603.3007958224
18,2021-11-01,2021,11,"Región Norte o Cibao",37691.1254289505
18,2021-11-01,2021,11,"Región Ozama*",46368.5701220755
18,2021-11-01,2021,11,"Región Sur",31772.2202466485
19,2021-12-01,2021,12,"Región Este",36838.1774867898
19,2021-12-01,2021,12,"Región Norte o Cibao",37933.2296908469
19,2021-12-01,2021,12,"Región Ozama*",46735.2449671705
19,2021-12-01,2021,12,"Región Sur",32023.6839728107
21,2022-01-01,2022,1,"Región Este",37279.5892985247
21,2022-01-01,2022,1,"Región Norte o Cibao",38503.2600012707
21,2022-01-01,2022,1,"Región Ozama*",47178.8300688898
21,2022-01-01,2022,1,"Región Sur",32403.9259287806
22,2022-02-01,2022,2,"Región Este",37643.1432335034
22,2022-02-01,2022,2,"Región Norte o Cibao",38900.3109907808
22,2022-02-01,2022,2,"Región Ozama*",47561.3026964265
22,2022-02-01,2022,2,"Región Sur",32724.6252623663
23,2022-03-01,2022,3,"Región Este",37904.7326687971
23,2022-03-01,2022,3,"Región Norte o Cibao",39180.4840607548
23,2022-03-01,2022,3,"Región Ozama*",47846.9099737284
23,2022-03-01,2022,3,"Región Sur",32970.8270823643
24,2022-04-01,2022,4,"Región Este",38305.7495988677
24,2022-04-01,2022,4,"Región Norte o Cibao",39595.9015804778
