anio,mes,variacion_interanual,fecha
2024,1,4.685527921093268,2024-01-01
2024,2,7.40945252955602,2024-02-01
2024,3,1.3420428813336542,2024-03-01
2024,4,8.535938490256754,2024-04-01
2024,5,4.748014173230715,2024-05-01
2024,6,5.155222452665669,2024-06-01
2024,7,5.883612111745393,2024-07-01
2024,8,5.833882176221934,2024-08-01
2024,9,3.7356798413119066,2024-09-01
2024,10,5.451224531849675,2024-10-01
2024,11,3.9259656455588754,2024-11-01
2024,12,3.0687139326106347,2024-12-01
2025,1,2.2888379164192543,2025-01-01
2025,2,0.6776482928722061,2025-02-01
2025,3,5.4235644139626515,2025-03-01
2025,4,1.6789419825276326,2025-04-01
2025,5,3.12638708899091,2025-05-01
2025,6,1.0846208608312082,2025-06-01
2025,7,2.92602099691112,2025-07-01
2025,8,1.5045632706234642,2025-08-01
2025,9,1.11355981996266,2025-09-01
2025,10,0.18315162989510725,2025-10-01
2025,11,3.156665017065734,2025-11-01
2025,12,2.309648690512006,2025-12-01
2026,1,3.486925214017816,2026-01-01
2026,2,3.8645726889941443,2026-02-01
2026,3,5.0707721323153265,2026-03-01
2026,4,3.7724344197263235,2026-04-01
2026,5,4.727359863008147,2026-05-01
