grupo,mes,indice_estacional
Alimentos y Bebidas No Alcohólicas,1,102.92173399453145
Alimentos y Bebidas No Alcohólicas,2,97.36639091339583
Alimentos y Bebidas No Alcohólicas,3,97.66254002210431
Alimentos y Bebidas No Alcohólicas,4,97.96617329179851
Alimentos y Bebidas No Alcohólicas,5,98.01436114214513
Alimentos y Bebidas No Alcohólicas,6,98.73755025234267
Alimentos y Bebidas No Alcohólicas,7,99.57248348352206
Alimentos y Bebidas No Alcohólicas,8,100.38962418055522
Alimentos y Bebidas No Alcohólicas,9,100.99978349541686
Alimentos y Bebidas No Alcohólicas,10,101.35306916026082
Alimentos y Bebidas No Alcohólicas,11,102.09301553930365
Alimentos y Bebidas No Alcohólicas,12,103.50762132352973
Bebidas Alcohólicas y Tabaco,1,101.78945279053606
Bebidas Alcohólicas y Tabaco,2,97.68921971797182
Bebidas Alcohólicas y Tabaco,3,97.90380460932221
Bebidas Alcohólicas y Tabaco,4,98.16507452591866
Bebidas Alcohólicas y Tabaco,5,98.65794939998709
Bebidas Alcohólicas y Tabaco,6,99.42139890139359
Bebidas Alcohólicas y Tabaco,7,99.74297011723881
Bebidas Alcohólicas y Tabaco,8,99.97942562778069
Bebidas Alcohólicas y Tabaco,9,100.78626770218804
Bebidas Alcohólicas y Tabaco,10,101.41572022602872
Bebidas Alcohólicas y Tabaco,11,102.10345270749677
Bebidas Alcohólicas y Tabaco,12,102.70315423224476
Bienes y Servicios Diversos,1,102.21516496855067
Bienes y Servicios Diversos,2,97.25329084605099
Bienes y Servicios Diversos,3,97.79500357259168
Bienes y Servicios Diversos,4,98.29442409472053
Bienes y Servicios Diversos,5,98.70681389210426
Bienes y Servicios Diversos,6,99.32830433041374
Bienes y Servicios Diversos,7,99.84581163962578
Bienes y Servicios Diversos,8,100.30463007624074
Bienes y Servicios Diversos,9,100.73255714379859
Bienes y Servicios Diversos,10,101.259396350388
Bienes y Servicios Diversos,11,101.80390611889203
Bienes y Servicios Diversos,12,102.90372996033315
Comunicaciones,1,99.46845347110444
Comunicaciones,2,100.15783829251802
Comunicaciones,3,100.41138033758885
Comunicaciones,4,100.21004871540754
Comunicaciones,5,100.03966352210631
Comunicaciones,6,99.9859991539587
Comunicaciones,7,99.948201415841325
Comunicaciones,8,100.11488036395544
Comunicaciones,9,99.93853692391357
Comunicaciones,10,99.9245112135434
Comunicaciones,11,99.73969697469511
Comunicaciones,12,99.95448030958816
Educación,1,101.99886553795882
Educación,2,97.72522233434988
Educación,3,97.73208566883159
Educación,4,97.78088329214897
Educación,5,98.33637020436544
Educación,6,98.33936845538568
Educación,7,98.3835045851258
Educación,8,100.18174845034429
Educación,9,102.45317319423398
Educación,10,102.4821316559134
Educación,11,102.49320986446693
Educación,12,102.49320986446693
Muebles y Artículos para el Hogar,1,101.42985746157672
Muebles y Artículos para el Hogar,2,98.29130512057085
Muebles y Artículos para el Hogar,3,98.62037030815543
Muebles y Artículos para el Hogar,4,98.95207001107977
Muebles y Artículos para el Hogar,5,99.12540596226049
Muebles y Artículos para el Hogar,6,99.63788648621416
Muebles y Artículos para el Hogar,7,100.03500299990493
Muebles y Artículos para el Hogar,8,100.31791483230955
Muebles y Artículos para el Hogar,9,100.58012909112078
Muebles y Artículos para el Hogar,10,100.88364838157598
Muebles y Artículos para el Hogar,11,100.9627064576329
Muebles y Artículos para el Hogar,12,101.44967437991376
Prendas de Vestir y Calzado,1,100.16574849160406
Prendas de Vestir y Calzado,2,100.17312825824891
Prendas de Vestir y Calzado,3,100.17910200182365
Prendas de Vestir y Calzado,4,100.12177989558332
Prendas de Vestir y Calzado,5,100.10513610178076
Prendas de Vestir y Calzado,6,100.0402263590554
Prendas de Vestir y Calzado,7,99.9860876551183
Prendas de Vestir y Calzado,8,99.96907924134088
Prendas de Vestir y Calzado,9,100.04562588691847
Prendas de Vestir y Calzado,10,99.92545538448034
Prendas de Vestir y Calzado,11,99.49447847691476
Prendas de Vestir y Calzado,12,99.82730194545196
Recreación y Cultura,1,101.19444012870296
Recreación y Cultura,2,98.950945919903
Recreación y Cultura,3,99.01852482286124
Recreación y Cultura,4,99.25685060695547
Recreación y Cultura,5,98.91485044745131
Recreación y Cultura,6,99.26313272715515
Recreación y Cultura,7,99.61628168280808
Recreación y Cultura,8,100.5836327643026
Recreación y Cultura,9,100.46603507584689
Recreación y Cultura,10,100.63447283018171
Recreación y Cultura,11,100.73652243997272
Recreación y Cultura,12,101.60319857959944
Restaurantes y Hoteles,1,102.37179813134456
Restaurantes y Hoteles,2,96.95275644526626
Restaurantes y Hoteles,3,97.5180136206382
Restaurantes y Hoteles,4,98.05117994475968
Restaurantes y Hoteles,5,98.54316107570766
Restaurantes y Hoteles,6,99.18344260235466
Restaurantes y Hoteles,7,99.82729603868185
Restaurantes y Hoteles,8,100.42377789470972
Restaurantes y Hoteles,9,101.038844411565
Restaurantes y Hoteles,10,101.55977777537467
Restaurantes y Hoteles,11,102.11057541022254
Restaurantes y Hoteles,12,102.89373627564409
Salud,1,100.91699551843442
Salud,2,97.7978964614251
Salud,3,98.31950553962433
Salud,4,98.84280750428145
Salud,5,99.29355364679131
Salud,6,99.66945857406989
Salud,7,100.03788459936536
Salud,8,100.42293921694163
Salud,9,100.74003538894019
Salud,10,101.06004858781478
Salud,11,101.39797107708857
Salud,12,101.68430298890988
Transporte,1,101.48523566741306
Transporte,2,98.04680287861066
Transporte,3,98.8537611602699
Transporte,4,98.83881352976914
Transporte,5,99.12562437136509
Transporte,6,99.47046168430815
Transporte,7,99.83349443094279
Transporte,8,100.28109321460894
Transporte,9,100.17256459298638
Transporte,10,100.67560567058752
Transporte,11,101.515479083815
Transporte,12,101.99811084880595
Vivienda,1,101.7468373531473
Vivienda,2,98.64576879423562
Vivienda,3,98.852978165064755
Vivienda,4,99.50989211484362
Vivienda,5,99.55667936123673
Vivienda,6,99.55291549250501
Vivienda,7,99.84257740009059
Vivienda,8,99.98518346455332
Vivienda,9,100.176199015243
Vivienda,10,100.43617443740233
Vivienda,11,100.87069341236463
Vivienda,12,101.17346845994255
