year,age_band,weighted_persons
2022,0-4,8853.56235797859
2022,5-9,8993.941501544074
2022,10-14,8835.87661176505
2022,15-19,8502.115412604207
2022,20-24,9287.946373417417
2022,25-29,9008.189172102097
2022,30-34,8326.328695741217
2022,35-39,7000.895154145071
2022,40-44,6715.9315160429205
2022,45-49,5749.94638585061
2022,50-54,5483.69840454383
2022,55-59,4869.200505743355
2022,60-64,4192.760332700946
2022,65-69,3355.446105481473
2022,70-74,2575.531764694363
2022,75-79,1647.6717973559523
2022,80-84,1102.4415537708294
2022,85-89,676.5840626438213
2022,90-97,428.2939952201877
2024,0-4,2266.858586470116
2024,5-9,2525.6199675608177
2024,10-14,2538.2180474497413
2024,15-19,2289.471641922838
2024,20-24,2510.731305936147
2024,25-29,2398.3426554357884
2024,30-34,2421.7795384759493
2024,35-39,2033.4419027162644
2024,40-44,1885.905144502308
2024,45-49,1660.8658933820334
2024,50-54,1858.2482046614352
2024,55-59,1448.1430125989655
2024,60-64,1289.6578037946013
2024,65-69,878.9001215430802
2024,70-74,830.6611777044399
2024,75-79,620.5776396539032
2024,80-84,374.76673864825466
2024,85-89,182.1618371865081
2024,90-97,143.8096187487592
