location,level,year,total,male,female
Total país,pais,2000,8397802.0,4215984.0,4181818.0
Total país,pais,2001,8512996.0,4272872.0,4240124.0
Total país,pais,2002,8627509.0,4329381.0,4298128.0
Total país,pais,2003,8745084.0,4387444.0,4357640.0
Total país,pais,2004,8857648.0,4442944.0,4414704.0
Total país,pais,2005,8968144.0,4497384.0,4470760.0
Total país,pais,2006,9071458.0,4547998.0,4523460.0
Total país,pais,2007,9174058.0,4598212.0,4575846.0
Total país,pais,2008,9279602.0,4649902.0,4629700.0
Total país,pais,2009,9380152.0,4699042.0,4681110.0
Total país,pais,2010,9478612.0,4747103.0,4731509.0
Total país,pais,2011,9580139.0,4796628.0,4783511.0
Total país,pais,2012,9680963.0,4845755.0,4835208.0
Total país,pais,2013,9784680.0,4896319.0,4888361.0
Total país,pais,2014,9883486.0,4944386.0,4939100.0
Total país,pais,2015,9980243.0,4991398.0,4988845.0
Total país,pais,2016,10075045.0,5037329.0,5037716.0
Total país,pais,2017,10169172.0,5082876.0,5086296.0
Total país,pais,2018,10266149.0,5129824.0,5136325.0
Total país,pais,2019,10358320.0,5174343.0,5183977.0
Total país,pais,2020,10448499.0,5217831.0,5230668.0
Total país,pais,2021,10535535.0,5259642.0,5275893.0
Total país,pais,2022,10621938.0,5301077.0,5320861.0
Total país,pais,2023,10711155.0,5343879.0,5367276.0
Total país,pais,2024,10795677.0,5384319.0,5411358.0
Total país,pais,2025,10878267.0,5423759.0,5454508.0
Total país,pais,2026,10954360.0,5459841.0,5494519.0
Total país,pais,2027,11029816.0,5495541.0,5534275.0
Total país,pais,2028,11108039.0,5532563.0,5575476.0
Total país,pais,2029,11181613.0,5567261.0,5614352.0
Total país,pais,2030,11253284.0,5600973.0,5652311.0
Región Metropolitana,region,2000,2678097.0,1302920.9999999998,1375176.0
Región Metropolitana,region,2001,2745420.0,1335499.0,1409921.0
Región Metropolitana,region,2002,2813736.0,1368529.0,1445207.0
Región Metropolitana,region,2003,2881867.0,1401492.0,1480375.0
Región Metropolitana,region,2004,2948343.0,1433637.0,1514706.0
Región Metropolitana,region,2005,3012855.0,1464832.0,1548023.0
Región Metropolitana,region,2006,3080965.0,1497612.0,1583353.0
