estrato,respuesta,porcentaje
"Ingresos RD$0–31,200",Sus ahorros,31
"Ingresos RD$31,201 o más",Sus ahorros,49.3
"Ingresos RD$0–31,200",Adelanto de sueldo,9.2
"Ingresos RD$31,201 o más",Adelanto de sueldo,3
"Ingresos RD$0–31,200",Venta o empeño de un bien,5.3
"Ingresos RD$31,201 o más",Venta o empeño de un bien,2.9
"Ingresos RD$0–31,200","Familia, amigos o conocidos",28.4
"Ingresos RD$31,201 o más","Familia, amigos o conocidos",13.9
"Ingresos RD$0–31,200",Tarjeta de crédito,3
"Ingresos RD$31,201 o más",Tarjeta de crédito,12.4
"Ingresos RD$0–31,200",Préstamo financiero,9
"Ingresos RD$31,201 o más",Préstamo financiero,11.5
"Ingresos RD$0–31,200",Trabajo temporal o venta,2.2
"Ingresos RD$31,201 o más",Trabajo temporal o venta,1.1
"Ingresos RD$0–31,200",Remesas,3.7
"Ingresos RD$31,201 o más",Remesas,3
"Ingresos RD$0–31,200",No podría cubrirla,5.4
"Ingresos RD$31,201 o más",No podría cubrirla,0.3
"Ingresos RD$0–31,200",Otro,2.8
"Ingresos RD$31,201 o más",Otro,2.7
