year,production,exports,source,export_share
1940,430000,414000,"Hall (2000), tabla 1.6",0.9627906976744186
1941,431705,386385,"Hall (2000), tabla 1.6",0.8950209054794361
1942,484328,189919,"Hall (2000), tabla 1.6",0.39212888786111894
1943,480216,406101,"Hall (2000), tabla 1.6",0.8456632015592983
1944,512089,692649,"Hall (2000), tabla 1.6",1.3525949590793789
1945,370063,437869,"Hall (2000), tabla 1.6",1.183228261133915
1946,458919,388950,"Hall (2000), tabla 1.6",0.847535185947847
1947,465428,474509,"Hall (2000), tabla 1.6",1.0195110736784208
1948,421633,381200,"Hall (2000), tabla 1.8",0.9041038059165198
1949,476484,436800,"Hall (2000), tabla 1.8",0.9167149369128869
1950,453000,424632,"Hall (2000), tabla 1.8",0.9373774834437086
1951,481584,474474,"Hall (2000), tabla 1.8",0.985236220472441
1952,547523,530881,"Hall (2000), tabla 1.8",0.9696049298385638
1953,553479,536199,"Hall (2000), tabla 1.8",0.9687793032797992
1954,532372,604032,"Hall (2000), tabla 1.8",1.1346051257391447
1955,629850,579442,"Hall (2000), tabla 1.8",0.9199682464078749
1956,755114,693146,"Hall (2000), tabla 1.8",0.917935569993405
1957,794843,723400,"Hall (2000), tabla 1.8",0.9101168406842609
1958,690792,651500,"Hall (2000), tabla 4.1",0.94312036039792
1959,694177,626000,"Hall (2000), tabla 4.1",0.9017872963235601
1960,1099129,1060000,"Hall (2000), tabla 4.1",0.964399993085434
1961,873000,793000,"USDA (1972), tabla 12",0.9083619702176403
1962,902000,846000,"USDA (1972), tabla 12",0.9379157427937915
1963,806000,671000,"USDA (1972), tabla 12",0.8325062034739454
1964,828000,662000,"USDA (1972), tabla 12",0.7995169082125604
1965,583000,522000,"USDA (1972), tabla 12",0.8953687821612349
1966,671000,572000,"USDA (1972), tabla 12",0.8524590163934426
1967,812000,647000,"USDA (1972), tabla 12",0.7967980295566502
1968,666000,605000,"USDA (1972), tabla 12",0.9084084084084084
1969,885000,636000,"USDA (1972), tabla 12",0.7186440677966102
1970,984000,800000,"Banco Mundial (1984), tabla 56",0.8130081300813008
1971,1097000,962000,"Banco Mundial (1984), tabla 56",0.8769371011850501
1972,1139000,1000000,"Banco Mundial (1984), tabla 56",0.8779631255487269
1973,1142000,981000,"Banco Mundial (1984), tabla 56",0.8590192644483362
1974,1194000,1030000,"Banco Mundial (1984), tabla 56",0.8626465661641541
1975,1135000,952000,"Banco Mundial (1984), tabla 56",0.8387665198237886
1976,1249000,1025000,"Banco Mundial (1984), tabla 56",0.8206565252201762
1977,1222000,1179000,"Banco Mundial (1984), tabla 56",0.9648117839607201
1978,1164000,1089000,"Banco Mundial (1984), tabla 56",0.9355670103092784
1979,1203000,911000,"Banco Mundial (1984), tabla 56",0.7572734829592684
1980,1013000,811000,"Banco Mundial (1984), tabla 56",0.8005923000987167
1981,1137000,864000,"Banco Mundial (1984), tabla 56",0.7598944591029023
1982,1219000,816000,"Banco Mundial (1984), tabla 56",0.6694011484823625
1983,1200000,954000,"Banco Mundial (1984), tabla 56",0.795
1984,1200000,1000000,"Banco Mundial (1984), tabla 56",0.8333333333333334
1985,921000,655000,"BCRD/FMI (1996), tabla 24",0.7111834961997828
1986,876000,449000,"BCRD/FMI (1996), tabla 24",0.5125570776255708
1987,901000,550000,"BCRD/FMI (1996), tabla 24",0.6104328523862376
1988,858000,514000,"BCRD/FMI (1996), tabla 24",0.5990675990675991
1989,841000,491000,"BCRD/FMI (1996), tabla 24",0.5838287752675386
1990,511000,355000,"BCRD/FMI (1996), tabla 24",0.6947162426614482
