sexo,indicador_fuente,indicador,anio,trimestre,periodo_indice,fecha,periodo,valor
Indicadores,Total Global de Participación,Participación,2014,3,8059,2014-07-01,2014 T3,61.80905474563387
Indicadores,Total Global de Participación,Participación,2014,4,8060,2014-10-01,2014 T4,62.12448859092813
Indicadores,Total Global de Participación,Participación,2015,1,8061,2015-01-01,2015 T1,62.20816408629393
Indicadores,Total Global de Participación,Participación,2015,2,8062,2015-04-01,2015 T2,61.4486711736839
Indicadores,Total Global de Participación,Participación,2015,3,8063,2015-07-01,2015 T3,61.93628744752091
Indicadores,Total Global de Participación,Participación,2015,4,8064,2015-10-01,2015 T4,61.69003515666475
Indicadores,Total Global de Participación,Participación,2016,1,8065,2016-01-01,2016 T1,61.63047133272208
Indicadores,Total Global de Participación,Participación,2016,2,8066,2016-04-01,2016 T2,62.58659682006983
Indicadores,Total Global de Participación,Participación,2016,3,8067,2016-07-01,2016 T3,62.64990618676348
Indicadores,Total Global de Participación,Participación,2016,4,8068,2016-10-01,2016 T4,62.37854817888655
Indicadores,Total Global de Participación,Participación,2017,1,8069,2017-01-01,2017 T1,61.924171204070156
Indicadores,Total Global de Participación,Participación,2017,2,8070,2017-04-01,2017 T2,62.59571272527271
Indicadores,Total Global de Participación,Participación,2017,3,8071,2017-07-01,2017 T3,62.037447373999925
Indicadores,Total Global de Participación,Participación,2017,4,8072,2017-10-01,2017 T4,62.05937710741887
Indicadores,Total Global de Participación,Participación,2018,1,8073,2018-01-01,2018 T1,62.887431027672655
Indicadores,Total Global de Participación,Participación,2018,2,8074,2018-04-01,2018 T2,63.74094049636522
Indicadores,Total Global de Participación,Participación,2018,3,8075,2018-07-01,2018 T3,63.559092756132806
Indicadores,Total Global de Participación,Participación,2018,4,8076,2018-10-01,2018 T4,64.34480939526118
Indicadores,Total Global de Participación,Participación,2019,1,8077,2019-01-01,2019 T1,64.86060123306353
Indicadores,Total Global de Participación,Participación,2019,2,8078,2019-04-01,2019 T2,65.14928843751694
Indicadores,Total Global de Participación,Participación,2019,3,8079,2019-07-01,2019 T3,64.86641437540659
Indicadores,Total Global de Participación,Participación,2019,4,8080,2019-10-01,2019 T4,65.35040332922709
Indicadores,Total Global de Participación,Participación,2020,1,8081,2020-01-01,2020 T1,63.39832289519064
Indicadores,Total Global de Participación,Participación,2020,2,8082,2020-04-01,2020 T2,56.64745077183302
Indicadores,Total Global de Participación,Participación,2020,3,8083,2020-07-01,2020 T3,59.65938608568175
Indicadores,Total Global de Participación,Participación,2020,4,8084,2020-10-01,2020 T4,61.11351142758919
Indicadores,Total Global de Participación,Participación,2021,1,8085,2021-01-01,2021 T1,61.71087021667184
Indicadores,Total Global de Participación,Participación,2021,2,8086,2021-04-01,2021 T2,62.790086395048085
Indicadores,Total Global de Participación,Participación,2021,3,8087,2021-07-01,2021 T3,63.14208382702592
Indicadores,Total Global de Participación,Participación,2021,4,8088,2021-10-01,2021 T4,64.15767622877563
Indicadores,Total Global de Participación,Participación,2022,1,8089,2022-01-01,2022 T1,63.45976332025626
Indicadores,Total Global de Participación,Participación,2022,2,8090,2022-04-01,2022 T2,63.12659841088066
Indicadores,Total Global de Participación,Participación,2022,3,8091,2022-07-01,2022 T3,62.13127960797914
Indicadores,Total Global de Participación,Participación,2022,4,8092,2022-10-01,2022 T4,63.615033465310624
Indicadores,Total Global de Participación,Participación,2023,1,8093,2023-01-01,2023 T1,63.7138538428579
Indicadores,Total Global de Participación,Participación,2023,2,8094,2023-04-01,2023 T2,63.6752892493296
Indicadores,Total Global de Participación,Participación,2023,3,8095,2023-07-01,2023 T3,64.1261889870469
Indicadores,Total Global de Participación,Participación,2023,4,8096,2023-10-01,2023 T4,64.91474917618561
Indicadores,Total Global de Participación,Participación,2024,1,8097,2024-01-01,2024 T1,64.89706259733971
Indicadores,Total Global de Participación,Participación,2024,2,8098,2024-04-01,2024 T2,65.32914491900175
Indicadores,Total Global de Participación,Participación,2024,3,8099,2024-07-01,2024 T3,65.53105660822087
Indicadores,Total Global de Participación,Participación,2024,4,8100,2024-10-01,2024 T4,65.41045234059914
Indicadores,Total Global de Participación,Participación,2025,1,8101,2025-01-01,2025 T1,65.99777997397918
Indicadores,Total Global de Participación,Participación,2025,2,8102,2025-04-01,2025 T2,66.081146498324145
Indicadores,Total Global de Participación,Participación,2025,3,8103,2025-07-01,2025 T3,66.61783448105288
Indicadores,Total Global de Participación,Participación,2025,4,8104,2025-10-01,2025 T4,66.13641225444142
