sexo,indicador_fuente,indicador,anio,trimestre,periodo_indice,fecha,periodo,valor
Hombres,Total Global de Participación,Participación,2014,3,8059,2014-07-01,2014 T3,75.8855998487191
Hombres,Total Global de Participación,Participación,2014,4,8060,2014-10-01,2014 T4,76.87251468671691
Hombres,Total Global de Participación,Participación,2015,1,8061,2015-01-01,2015 T1,76.66970238820028
Hombres,Total Global de Participación,Participación,2015,2,8062,2015-04-01,2015 T2,75.87345879779886
Hombres,Total Global de Participación,Participación,2015,3,8063,2015-07-01,2015 T3,76.2588499282982
Hombres,Total Global de Participación,Participación,2015,4,8064,2015-10-01,2015 T4,76.33251228906207
Hombres,Total Global de Participación,Participación,2016,1,8065,2016-01-01,2016 T1,76.36897470216286
Hombres,Total Global de Participación,Participación,2016,2,8066,2016-04-01,2016 T2,77.15826326312246
Hombres,Total Global de Participación,Participación,2016,3,8067,2016-07-01,2016 T3,76.52439216797954
Hombres,Total Global de Participación,Participación,2016,4,8068,2016-10-01,2016 T4,76.26638020235237
Hombres,Total Global de Participación,Participación,2017,1,8069,2017-01-01,2017 T1,76.3957943903173
Hombres,Total Global de Participación,Participación,2017,2,8070,2017-04-01,2017 T2,76.63068755747685
Hombres,Total Global de Participación,Participación,2017,3,8071,2017-07-01,2017 T3,75.46475761424782
Hombres,Total Global de Participación,Participación,2017,4,8072,2017-10-01,2017 T4,75.91584038227691
Hombres,Total Global de Participación,Participación,2018,1,8073,2018-01-01,2018 T1,76.71333558325477
Hombres,Total Global de Participación,Participación,2018,2,8074,2018-04-01,2018 T2,78.14144788123237
Hombres,Total Global de Participación,Participación,2018,3,8075,2018-07-01,2018 T3,78.02730184906562
Hombres,Total Global de Participación,Participación,2018,4,8076,2018-10-01,2018 T4,78.1984462055357
Hombres,Total Global de Participación,Participación,2019,1,8077,2019-01-01,2019 T1,78.80280169711949
Hombres,Total Global de Participación,Participación,2019,2,8078,2019-04-01,2019 T2,78.48513220328867
Hombres,Total Global de Participación,Participación,2019,3,8079,2019-07-01,2019 T3,77.88727501556069
Hombres,Total Global de Participación,Participación,2019,4,8080,2019-10-01,2019 T4,78.51490848569964
Hombres,Total Global de Participación,Participación,2020,1,8081,2020-01-01,2020 T1,76.33301328683504
Hombres,Total Global de Participación,Participación,2020,2,8082,2020-04-01,2020 T2,70.52540006517667
Hombres,Total Global de Participación,Participación,2020,3,8083,2020-07-01,2020 T3,74.08280415991152
Hombres,Total Global de Participación,Participación,2020,4,8084,2020-10-01,2020 T4,74.8749531502943
Hombres,Total Global de Participación,Participación,2021,1,8085,2021-01-01,2021 T1,75.32788540630845
