sector,total,hombres,mujeres,diferencia_reconciliacion,pct_mujeres,posicion
Agricultura y Ganadería,322868.078448283,305881.817169133,16986.2612791504,3.4924596548080444e-10,5.261053170938129,Menos de la mitad
Industrias,541219.886795887,354832.462812118,186387.423983768,-1.0477378964424133e-9,34.43839159111705,Menos de la mitad
Electricidad y Agua,34344.8818199119,28147.7341590871,6197.14766082473,-6.548361852765083e-11,18.04387533874655,Menos de la mitad
Construcción,424490.520721093,415839.766173013,8650.75454808009,1.1641532182693481e-10,2.0379146590564217,Menos de la mitad
Comercio,1048031.82199441,613940.271343221,434091.55065119,9.313225746154785e-10,41.4196918014485,Menos de la mitad
"Hoteles, Bares y Restaurantes",448495.526163946,159042.215765484,289453.310398461,-1.0477378964424133e-9,64.53872859651499,Mayoría de mujeres
Transporte y Comunicaciones,359087.730668619,325937.350420904,33150.3802477141,-8.731149137020111e-10,9.231833175137538,Menos de la mitad
Intermediación financiera y Seguros,126154.417610151,61856.5581971221,64297.8594130289,0,50.96758451354872,Mayoría de mujeres
Administración pública y Defensa,319148.526308994,186340.685124398,132807.841184596,5.820766091346741e-11,41.61317701213942,Menos de la mitad
Enseñanza,350361.048459178,103998.203318178,246362.845140999,-9.89530235528946e-10,70.31684778443736,Mayoría de mujeres
Salud y Asistencia Social,185045.27163465,45171.3722237054,139873.899410944,-6.111804395914078e-10,75.58901569077024,Mayoría de mujeres
Otros servicios,1076930.75971476,336070.337905613,740860.421809152,5.122274160385132e-9,68.79369124950793,Mayoría de mujeres
