sector,formales,informales,ocupados,pct_informal
Agricultura y Ganadería,37616.0765358508,285252.001912432,322868.07844828285,88.34939746393164
Industrias,378317.094445501,162902.792350386,541219.886795887,30.099188208843913
Electricidad y Agua,32549.3094442929,1795.57237561893,34344.88181991183,5.228063922403503
Construcción,61955.4545849447,362535.066136149,424490.5207210937,85.4047495619692
Comercio,431445.873182323,616585.948812088,1048031.8219944111,58.83275067342145
"Hoteles, Bares y Restaurantes",210675.944251598,237819.581912348,448495.526163946,53.026076747399664
Transporte y Comunicaciones,105142.040458303,253945.690210315,359087.730668618,70.71967893123791
Intermediación financiera y Seguros,106170.828045851,19983.5895642993,126154.4176101503,15.840578509151973
Administración pública y Defensa,319148.526308994,0,319148.526308994,0
Enseñanza,335807.057690913,14553.9907682651,350361.04845917807,4.153997949335639
Salud y Asistencia Social,177962.028056855,7083.24357779475,185045.27163464975,3.827843594825696
Otros servicios,392695.830342927,407994.596307273,800690.4266502,50.95534837529846
