mes,anio,privada,publica_central,publica_descentral,total,mes_numero,fecha,total_componentes
Junio,2003,350596,176047,35511,562154,6,2003-06-01,562154
Julio,2003,358110,177775,37644,573529,7,2003-07-01,573529
Agosto,2003,356848,177940,34849,569637,8,2003-08-01,569637
Septiembre,2003,356027,175873,39602,571502,9,2003-09-01,571502
Octubre,2003,357475,130002,33195,520672,10,2003-10-01,520672
Noviembre,2003,359161,175903,32815,567879,11,2003-11-01,567879
Diciembre,2003,360846,175515,36104,572465,12,2003-12-01,572465
Enero,2004,362138,180882,37290,580310,1,2004-01-01,580310
Febrero,2004,364751,180744,36921,582416,2,2004-02-01,582416
Marzo,2004,367182,175299,37276,579757,3,2004-03-01,579757
Abril,2004,367633,187381,36907,591921,4,2004-04-01,591921
Mayo,2004,368528,177143,36970,582641,5,2004-05-01,582641
Junio,2004,372425,199730,38599,610754,6,2004-06-01,610754
Julio,2004,372114,188828,38234,599176,7,2004-07-01,599176
Agosto,2004,371358,187160,33357,591875,8,2004-08-01,591875
Septiembre,2004,370834,161264,29918,562016,9,2004-09-01,562016
Octubre,2004,370077,155689,31363,557129,10,2004-10-01,557129
Noviembre,2004,372498,127410,31795,531703,11,2004-11-01,531703
Diciembre,2004,371212,122793,31934,525939,12,2004-12-01,525939
Enero,2005,383192,175268,31395,589855,1,2005-01-01,589855
Febrero,2005,384794,118365,32000,535159,2,2005-02-01,535159
Marzo,2005,379823,182135,32727,594685,3,2005-03-01,594685
Abril,2005,381579,103019,32941,517539,4,2005-04-01,517539
Mayo,2005,378738,107121,33003,518862,5,2005-05-01,518862
Junio,2005,373425,187435,33616,594476,6,2005-06-01,594476
Julio,2005,567101,179432,57701,804234,7,2005-07-01,804234
Agosto,2005,620611,184418,61605,866634,8,2005-08-01,866634
Septiembre,2005,623805,103905,61855,789565,9,2005-09-01,789565
Octubre,2005,621572,181482,60739,863793,10,2005-10-01,863793
Noviembre,2005,628650,180831,61169,870650,11,2005-11-01,870650
Diciembre,2005,631408,179132,61785,872325,12,2005-12-01,872325
Enero,2006,632532,180491,68550,881573,1,2006-01-01,881573
Febrero,2006,638133,180335,69618,888086,2,2006-02-01,888086
Marzo,2006,643879,178793,70718,893390,3,2006-03-01,893390
Abril,2006,643852,183788,71168,898808,4,2006-04-01,898808
Mayo,2006,646601,181799,72574,900974,5,2006-05-01,900974
Junio,2006,648297,181730,72578,902605,6,2006-06-01,902605
Julio,2006,650427,180819,73174,904420,7,2006-07-01,904420
Agosto,2006,650928,179110,72032,902070,8,2006-08-01,902070
Septiembre,2006,655441,170933,79602,905976,9,2006-09-01,905976
Octubre,2006,658968,173380,78575,910923,10,2006-10-01,910923
Noviembre,2006,666140,173757,77736,917633,11,2006-11-01,917633
Diciembre,2006,665362,173996,76910,916268,12,2006-12-01,916268
Enero,2007,682417,172883,76684,931984,1,2007-01-01,931984
Febrero,2007,688553,173312,76234,938099,2,2007-02-01,938099
Marzo,2007,700350,175556,76405,952311,3,2007-03-01,952311
Abril,2007,704007,176120,76094,956221,4,2007-04-01,956221
Mayo,2007,704789,176655,76344,957788,5,2007-05-01,957788
Junio,2007,701684,176779,76680,955143,6,2007-06-01,955143
Julio,2007,700597,177370,76660,954627,7,2007-07-01,954627
Agosto,2007,714466,177504,88130,980100,8,2007-08-01,980100
Septiembre,2007,729397,178107,92032,999536,9,2007-09-01,999536
Octubre,2007,742345,179873,92272,1014490,10,2007-10-01,1014490
Noviembre,2007,751183,183471,94303,1028957,11,2007-11-01,1028957
Diciembre,2007,751793,184148,97047,1032988,12,2007-12-01,1032988
Enero,2008,758631,185067,96673,1040371,1,2008-01-01,1040371
Febrero,2008,766757,184697,97701,1049155,2,2008-02-01,1049155
Marzo,2008,770639,184290,98103,1053032,3,2008-03-01,1053032
Abril,2008,778583,185678,100471,1064732,4,2008-04-01,1064732
Mayo,2008,779332,196947,91464,1067743,5,2008-05-01,1067743
Junio,2008,780786,197704,91481,1069971,6,2008-06-01,1069971
Julio,2008,780718,197269,89327,1067314,7,2008-07-01,1067314
Agosto,2008,779567,196966,89355,1065888,8,2008-08-01,1065888
Septiembre,2008,778324,198295,90189,1066808,9,2008-09-01,1066808
Octubre,2008,776395,198185,91382,1065962,10,2008-10-01,1065962
Noviembre,2008,775940,200134,91214,1067288,11,2008-11-01,1067288
Diciembre,2008,777773,201055,91303,1070131,12,2008-12-01,1070131
Enero,2009,773268,201583,92062,1066913,1,2009-01-01,1066913
Febrero,2009,775893,202923,86972,1065788,2,2009-02-01,1065788
Marzo,2009,780391,204030,85807,1070228,3,2009-03-01,1070228
Abril,2009,774790,201937,90296,1067023,4,2009-04-01,1067023
Mayo,2009,760916,203107,90198,1054221,5,2009-05-01,1054221
Junio,2009,777796,202226,97895,1077917,6,2009-06-01,1077917
Julio,2009,820393,203795,144376,1168564,7,2009-07-01,1168564
Agosto,2009,823827,204873,145747,1174447,8,2009-08-01,1174447
Septiembre,2009,825309,206096,141946,1173351,9,2009-09-01,1173351
Octubre,2009,831244,208380,142094,1181718,10,2009-10-01,1181718
Noviembre,2009,841776,208759,142691,1193226,11,2009-11-01,1193226
Diciembre,2009,846959,209230,142742,1198931,12,2009-12-01,1198931
Enero,2010,848907,209108,142343,1200358,1,2010-01-01,1200358
Febrero,2010,862351,210204,143173,1215728,2,2010-02-01,1215728
Marzo,2010,872565,210273,144695,1227533,3,2010-03-01,1227533
Abril,2010,875242,210401,144712,1230355,4,2010-04-01,1230355
Mayo,2010,880556,212783,142819,1236158,5,2010-05-01,1236158
