"orden","indicador_id","indicador","familia","n","observado_n","esperado_n","observado_pct","esperado_pct","exceso_pp","razon_observado_esperado","kappa","odds_ratio_global","duncan_pct","cobertura_pct","categorias_jefatura","categorias_pareja","parejas_base","errores_qa","indicador_editorial","seleccion_grafico","fecha_tecnica"
14,"uso_internet","Uso de internet","Uso digital",1658017,1473090,1182094.14,88.8465,71.2957,17.5508,1.2462,0.6114,3.2071,0.5922,95.7387,2,2,1731814,0,"Uso de internet",FALSE,"2026-07-18"
13,"uso_smartphone","Uso de smartphone","Uso digital",1720306,1499207,1268464.54,87.1477,73.7348,13.4129,1.1819,0.5107,2.4154,2.0893,99.3355,2,2,1731814,0,"Uso de smartphone",FALSE,"2026-07-18"
3,"trayectoria_escolar","Asistencia o trayectoria escolar","Educacion",1731814,1456534,1276896.8,84.1045,73.7318,10.3728,1.1407,0.3949,1.885,1.7309,100,3,3,1731814,0,"Asistencia o trayectoria escolar",FALSE,"2026-07-18"
2,"alfabetismo","Sabe leer y escribir","Educacion",1731813,1593880,1515449.98,92.0353,87.5066,4.5288,1.0518,0.3625,1.6498,0.5725,99.9999,2,2,1731814,0,"Sabe leer y escribir",FALSE,"2026-07-18"
1,"grupo_edad_10","Grupo de edad","Demografia",1731814,816554,314653.38,47.1502,18.169,28.9812,2.5951,0.3542,4.0182,2.9005,100,7,7,1731814,0,"Grupo de edad",TRUE,"2026-07-18"
4,"nivel_educativo","Nivel educativo","Educacion",1538050,853532,480108.69,55.4944,31.2154,24.279,1.7778,0.353,2.7476,0.6575,88.8115,6,6,1731814,0,"Nivel educativo",TRUE,"2026-07-18"
9,"dificultad_funcional","Alguna dificultad funcional","Salud",1731385,1324958,1113933.11,76.5259,64.3377,12.1882,1.1894,0.3418,1.807,4.7848,99.9752,2,2,1731814,0,"Alguna dificultad funcional",TRUE,"2026-07-18"
22,"autoidentificacion","Autoidentificacion etnorracial","Identidad",1702268,788830,405657.32,46.3399,23.8304,22.5095,1.9446,0.2955,2.7603,2.8618,98.2939,8,8,1731814,0,"Autoidentificación etnorracial",TRUE,"2026-07-18"
21,"categoria_ocupacional","Categoria ocupacional","Trabajo",957284,608868,526043.28,63.6037,54.9516,8.6521,1.1574,0.1921,1.4326,3.9625,55.2764,5,5,1731814,0,"Categoría ocupacional†",TRUE,"2026-07-18"
6,"campo_estudio","Campo amplio de estudio","Educacion",172429,55225,36927.66,32.0277,21.4162,10.6115,1.4955,0.135,1.729,8.7833,9.9566,11,11,1731814,0,"Campo de estudio superior*",TRUE,"2026-07-18"
15,"situacion_ocupacional","Condicion de ocupacion","Trabajo",1731814,1043639,983414.9,60.2628,56.7852,3.4775,1.0612,0.0805,1.1541,4.0175,100,2,2,1731814,0,"Condición de ocupación",FALSE,"2026-07-18"
20,"grupo_ocupacional","Gran grupo ocupacional","Trabajo",404989,86408,59609.83,21.3359,14.7189,6.617,1.4496,0.0776,1.5715,5.1638,23.3852,10,10,1731814,0,"Gran grupo ocupacional",FALSE,"2026-07-18"
