provincia,nombre,sector,n,pct
01,Distrito Nacional,Comercio,53976,18.7
02,Azua,Agricultura y pesca,9627,19.7
03,Baoruco,Administracion publica,2808,16.7
04,Barahona,Administracion publica,5659,16.3
05,Dajabon,Comercio,2577,15.9
06,Duarte,Comercio,15579,18.7
07,Elias Pina,Administracion publica,2080,24.5
08,El Seibo,Agricultura y pesca,3303,15.5
09,Espaillat,Comercio,11322,20.1
10,Independencia,Administracion publica,2732,27.4
11,La Altagracia,Turismo y comidas,31821,28.5
12,La Romana,Manufactura,14293,17.8
13,La Vega,Comercio,21227,19.9
14,Maria Trinidad Sanchez,Comercio,5812,16.4
15,Monte Cristi,Agricultura y pesca,7129,22.7
16,Pedernales,Comercio,875,18.1
17,Peravia,Comercio,9941,21.6
18,Puerto Plata,Comercio,12513,16.0
19,Hermanas Mirabal,Comercio,4190,17.4
20,Samana,Turismo y comidas,4850,17.0
21,San Cristobal,Comercio,25751,17.8
22,San Juan,Agricultura y pesca,8680,17.7
23,San Pedro de Macoris,Manufactura,13258,15.3
24,Sanchez Ramirez,Comercio,6981,16.9
25,Santiago,Comercio,59249,20.9
26,Santiago Rodriguez,Comercio,2810,18.1
27,Valverde,Comercio,10380,21.5
28,Monseñor Nouel,Comercio,10021,19.1
29,Monte Plata,Agricultura y pesca,7638,15.7
30,Hato Mayor,Comercio,4054,16.2
31,San Jose de Ocoa,Agricultura y pesca,4678,28.1
32,Santo Domingo,Comercio,138618,19.8
