UPM,HVIVIEN,HHOGAR,HZONA,HLINEA,P202,P203,PDIA_204,PMES_204,PANO_204,P205,P206,P207,P208,P209,H201A,p301,P302,P303,P304,P401,P402,P403,P404,P405,P501,P502,P503,P504,P505,P506,P507,P508,P509,P510,P511,P512,P513,P514,P515,P516,P517,P517A,P518,P519,P520,P521,HPROVI,HDIA,HMES,HANO,H001,F_expansión,F_ponderación,Region,ESTRATO,grup_sec
1,2,1,1,1,1,53,23,10,1968,1,1,1,1,1,1,1,2,4,2,2, , , , ,1, , , , , , , , , , , , ,832,8411,2, ,40,3,2, , ,1,17,6,2022,1,233.183138556877,2.31914832699322,10,1,4
1,2,1,1,2,2,46,17,10,1975,2,1,1,1,1,1,1,2,4,2,2, , , , ,1, , , , , , , , , , , , ,334,8510,3, ,44,3,2, , ,1,17,6,2022,1,233.183138556877,2.31914832699322,10,1,4
1,2,1,1,3,1,22,22,10,1999,3,1,1,7,1,1,1,2,3,4,1,1,1,1, ,1, , , , , , , , , , , , ,432,8412,1, ,40,3,2, , ,1,17,6,2022,1,233.183138556877,2.31914832699322,10,1,4
1,2,1,1,4,2,22,9,4,2000,3,1,1,7,1,1,1,1,4,2,2, , , , ,1, , , , , , , , , , , , ,343,7410,7, ,4,1,2, , ,1,17,6,2022,1,233.183138556877,2.31914832699322,10,1,4
1,2,1,1,5,2,19,9,10,2002,3,1,1,7,1,1,1,1,4,0,2, , , , ,2,2,2,2,2,2,4,1, , , , ,2, , , , , , , , , ,1,17,6,2022,1,233.183138556877,2.31914832699322,10,1,4
1,2,1,1,6,2,9,28,5,2012,3,1,1, , ,2,1,1,2,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,17,6,2022,1,233.183138556877,2.31914832699322,10,1,4
1,3,1,1,1,2,78,5,10,1943,1,1,1,3,1,2,1,2,3,1,2, , , , ,2,2,2,2,2,2,6,2,11,1,2, ,1,341,8890,3, ,40,1,2, , ,1,23,8,2022,1,233.183138556877,2.31914832699322,10,1,4
1,4,1,1,1,1,76,3,8,1945,1,1,1,1,1,1,1,2,2,5,2, , , , ,1, , , , , , , , , , , , ,832,4922,7, ,56,7,2, , ,1,13,7,2022,1,233.183138556877,2.31914832699322,10,1,4
1,4,1,1,2,2,74,20,9,1947,2,1,1,1,1,1,1,2,2,5,2, , , , ,2,2,2,2,2,2,3,2,11,2, , ,2, , , , , , , , , ,1,13,7,2022,1,233.183138556877,2.31914832699322,10,1,4
1,4,1,1,3,2,46,21,7,1975,3,1,1,5,1,2,1,2,4,4,2, , , , ,2,2,2,2,2,2,2,2,2,1,1,1,1,941,5610,3, ,42,3,2, , ,1,13,7,2022,1,233.183138556877,2.31914832699322,10,1,4
1,5,1,1,1,1,40,2,5,1982,1,1,1,2,1,1,1,1,4,4,2, , , , ,2,1, , , , , , , , , , , ,241,8412,1, ,56,3,2, , ,1,18,5,2022,1,233.183138556877,2.31914832699322,10,1,3
1,5,1,1,2,2,24,13,5,1998,2,1,1,2,1,1,1,2,4,1,2, , , , ,2,2,2,2,2,2,6,2,5,2, , ,1,432,4773,3, ,40,3,2, , ,1,18,5,2022,1,233.183138556877,2.31914832699322,10,1,3
1,5,1,1,3,1,4,5,12,2017,3,1,1, , ,1,2,1,1,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,18,5,2022,1,233.183138556877,2.31914832699322,10,1,3
1,5,1,1,4,2,1,19,6,2020,3,1,1, , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,18,5,2022,1,233.183138556877,2.31914832699322,10,1,3
1,5,1,1,5,1,0,24,4,2022,3,1,1, , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,18,5,2022,1,233.183138556877,2.31914832699322,10,1,3
1,6,1,1,1,2,66,14,6,1955,1,1,1,7,1,2,1,2,2,2,2, , , , ,1, , , , , , , , , , , , ,522,4782,7, ,56,1,2, , ,1,18,5,2022,1,233.183138556877,2.31914832699322,10,1,3
1,7,1,1,1,2,50,19,11,1971,1,1,1,4,1,1,1,2,4,4,2, , , , ,1, , , , , , , , , , , , ,412,8411,1, ,8,3,2, , ,1,23,8,2022,1,233.183138556877,2.31914832699322,10,1,4
1,7,1,1,2,2,15,12,3,2007,3,1,1,2, ,2,1,1,2,8,2, , , , ,2,2,2,2,2,2,4,2,6,2, , ,2, , , , , , , , , ,1,23,8,2022,1,233.183138556877,2.31914832699322,10,1,4
1,8,1,1,1,1,54,25,6,1967,1,1,1,6,1,2,1,2,2,8,2, , , , ,1, , , , , , , , , , , , ,832,4922,2, ,56,3,2, , ,1,7,9,2022,1,233.183138556877,2.31914832699322,10,1,4
1,9,1,1,1,1,80,22,2,1942,1,1,1,1,1,1,1,2,2,8,2, , , , ,2,2,2,2,2,2,7,2,4,2, , ,1,951,9200,3, ,56,8,2, , ,1,27,5,2022,1,233.183138556877,2.31914832699322,10,1,3
1,9,1,1,2,2,77,29,11,1944,2,1,1,1,1,1,2,2,2,2,2, , , , ,2,2,2,2,2,2,6,2,11,2, , ,1,611,141,5, ,8,3,2, , ,1,27,5,2022,1,233.183138556877,2.31914832699322,10,1,3
1,9,1,1,3,1,45,21,8,1976,3,1,1,6,1,1,1,2,2,6,2, , , , ,1, , , , , , , , , , , , ,932,1702,3, ,56,3,2, , ,1,27,5,2022,1,233.183138556877,2.31914832699322,10,1,3
1,9,1,1,4,1,24,26,8,1997,4,1,1,2,1,1,1,2,2,3,2, , , , ,1, , , , , , , , , , , , ,422,8220,3, ,56,3,1,1,2,1,27,5,2022,1,233.183138556877,2.31914832699322,10,1,3
1,9,1,1,5,2,23,4,10,1998,5,1,1,2,1,1,1,2,3,4,2, , , , ,2,2,2,2,2,2,2,2,1,1,1,1,1,234,8521,3, ,56,3,2, , ,1,27,5,2022,1,233.183138556877,2.31914832699322,10,1,3
1,9,1,1,6,1,11,17,6,2010,5,1,1, , ,1,1,1,2,7,2, , , , ,2,2,2,2,2,2,4,2,6,2, , ,2, , , , , , , , , ,1,27,5,2022,1,233.183138556877,2.31914832699322,10,1,3
1,9,1,1,7,2,0,28,12,2021,12,1,1, , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,27,5,2022,1,233.183138556877,2.31914832699322,10,1,3
1,10,1,1,1,2,27,12,6,1994,1,1,1,7,1,2,1,2,4,3,2, , , , ,1, , , , , , , , , , , , ,431,8412,1, ,56,3,2, , ,1,27,5,2022,1,233.183138556877,2.31914832699322,10,1,3
1,11,1,1,1,1,40,8,9,1981,1,1,1,2,1,1,1,2,2,8,2, , , , ,1, , , , , , , , , , , , ,713,4330,7, ,8,2,1,1,2,1,27,5,2022,1,233.183138556877,2.31914832699322,10,1,2
1,11,1,1,2,2,32,30,6,1989,2,1,1,2,1,1,1,2,3,4,2, , , , ,2,2,2,2,2,2,3,2,96,1,1,1,1,421,9200,3, ,56,3,2, , ,1,27,5,2022,1,233.183138556877,2.31914832699322,10,1,2
1,11,1,1,3,2,10,20,6,2011,3,1,1, , ,1,1,1,2,5,2, , , , ,2,2,2,2,2,2,4,2,6,2, , ,2, , , , , , , , , ,1,27,5,2022,1,233.183138556877,2.31914832699322,10,1,2
1,11,1,1,4,1,3,8,1,2019,3,1,1, , ,2,2,3, , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,27,5,2022,1,233.183138556877,2.31914832699322,10,1,2
1,12,1,1,1,2,27,19,1,1995,1,1,1,6,1,1,1,1,4,98,2, , , , ,1, , , , , , , , , , , , ,522,4719,3, ,56,3,2, , ,1,27,5,2022,1,233.183138556877,2.31914832699322,10,1,3
1,12,1,1,2,2,25,6,12,1996,8,1,1,2,1,1,1,2,3,4,2, , , , ,1, , , , , , , , , , , , ,541,8010,3, ,56,3,2, , ,1,27,5,2022,1,233.183138556877,2.31914832699322,10,1,3
1,12,1,1,3,1,23,28,3,1999,8,1,1,2,1,1,1,2,3,4,2, , , , ,1, , , , , , , , , , , , ,243,4752,3, ,56,3,1,2,2,1,27,5,2022,1,233.183138556877,2.31914832699322,10,1,3
1,12,1,1,4,2,0,30,9,2021,3,1,1, , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,27,5,2022,1,233.183138556877,2.31914832699322,10,1,3
1,13,1,1,1,2,55,24,10,1968,1,1,1,5,1,1,1,2,4,4,2, , , , ,2,2,2,2,2,2,3,2,7,2, , ,2, , , , , , , , , ,1,13,7,2022,1,233.183138556877,2.31914832699322,10,1,3
1,13,1,1,2,2,5,18,7,2017,5,1,1, , ,2,2,1,2,0,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,13,7,2022,1,233.183138556877,2.31914832699322,10,1,3
1,15,1,1,1,2,42,2,7,1979,1,1,1,6,1,1,1,1,3,2,2, , , , ,1, , , , , , , , , , , , ,911,4772,2, ,40,3,2, , ,1,13,7,2022,1,233.183138556877,2.31914832699322,10,1,4
1,15,1,1,2,2,17,30,12,2004,3,1,1,7,3,2,1,1,3,3,2, , , , ,2,2,2,2,2,2,4,2,6,1,1,1,2, , , , , , , , , ,1,13,7,2022,1,233.183138556877,2.31914832699322,10,1,4
1,16,1,1,1,2,97,1,1,1925,2,1,1,2,1,1,1,2,3,4,2, , , , ,1, , , , , , , , , , , , ,524,4782,4, ,10,1,2, , ,1,28,9,2022,1,233.183138556877,2.31914832699322,10,1,2
1,16,1,1,2,1,97,2,2,1924,1,1,1,2,1,1,1,2,8,7,2, , , , ,1, , , , , , , , , , , , ,998,2220,3, ,0,3,2, , ,1,28,9,2022,1,233.183138556877,2.31914832699322,10,1,2
1,16,1,1,3,1,99,3,3,1923,12,1,1,7,1,1,9,9, , ,9, , , , ,9,9,9,9,9,9,9,9,99,9, , ,9,962,8530, , , , , , , ,1,28,9,2022,1,233.183138556877,2.31914832699322,10,1,2
1,16,1,1,4,1,99,4,4,1923,12,1,1,7,2,2,1,1,3,1,2, , , , ,2,2,2,2,2,2,6,2,11,2, , ,2, , , , , , , , , ,1,28,9,2022,1,233.183138556877,2.31914832699322,10,1,2
1,17,1,1,1,1,96,28,6,1925,1,1,1,1,1,1,1,3, , ,2, , , , ,2,2,2,2,2,2,6,2,11,2, , ,1,723,4520,6, ,40,3,2, , ,1,13,7,2022,1,233.183138556877,2.31914832699322,10,1,4
1,17,1,1,2,2,73,26,11,1948,2,1,1,1,1,1,1,1,2,6,2, , , , ,2,2,2,2,2,2,7,2,4,2, , ,1,521,5610,96, ,5,1,2, , ,1,13,7,2022,1,233.183138556877,2.31914832699322,10,1,4
1,17,1,1,3,2,46,9,7,1975,3,1,1,7,1,1,1,1,4,4,2, , , , ,1, , , , , , , , , , , , ,261,8413,1, ,40,3,2, , ,1,13,7,2022,1,233.183138556877,2.31914832699322,10,1,4
