Estación,Provincia,Año,Mes,Precipitación,Temperatura máxima,Temperatura mínima,Velocidad del viento,Humedad relativa,Presión atmosférica
Aeropuerto La Unión,Puerto Plata,2017,10,100.1,32.6,22.8,6.3,83.9,1010.7
Aeropuerto La Unión,Puerto Plata,2017,12,274.7,30,20.7,6.6,87.9,1011.1
Aeropuerto La Unión,Puerto Plata,2017,3,604.9,29.3,19.7,7.5,85.9,1015.9
Aeropuerto La Unión,Puerto Plata,2017,5,165.5,31.6,22.1,8.5,85.1,1014.4
Aeropuerto La Unión,Puerto Plata,2017,7,57.9,33.200000000000003,23.4,9.3000000000000007,83.9,1015.5
Aeropuerto La Unión,Puerto Plata,2017,9,267.5,33.5,23.7,8.8000000000000007,83.6,1014.3
Arroyo Barril,Samaná,2017,10,140.69999999999999,31.5,22.3,7,81.8,1009.3
Arroyo Barril,Samaná,2017,12,83.4,30.1,20.6,9.1,83,1014.1
Arroyo Barril,Samaná,2017,3,202,29.8,20.3,10.5,80.900000000000006,1013.2
Arroyo Barril,Samaná,2017,5,238,30.8,22.4,10.1,81.900000000000006,1015.4
Arroyo Barril,Samaná,2017,7,208.7,32,22.8,10.3,81.400000000000006,1013.2
Arroyo Barril,Samaná,2017,9,650.6,31.8,22.4,11.3,82.3,1008.4
Barahona,Barahona,2017,10,198.6,31.4,22.3,15.4,77.3,1012
Barahona,Barahona,2017,12,0.3,31.3,20.6,14.4,71.5,1014.9
Barahona,Barahona,2017,3,13.2,31.3,21.2,15.8,79.2,1015.3
Barahona,Barahona,2017,5,333.4,32.1,21.4,11.2,77.7,1006.6
Barahona,Barahona,2017,7,26.7,33,24.2,18.8,74.3,1015.4
Barahona,Barahona,2017,9,89.8,33.799999999999997,24.2,15.6,74,1011.7
Bayaguana,Monte Plata,2017,10,126.1,32.299999999999997,22.3,11.2,81.599999999999994,1003.9
Bayaguana,Monte Plata,2017,12,22.3,31.3,19.7,11,78.599999999999994,1007.7
Bayaguana,Monte Plata,2017,3,101.1,31.4,19.7,12.2,71.599999999999994,1008
Bayaguana,Monte Plata,2017,5,284.7,32.1,21.4,11.2,77.599999999999994,1006.6
Bayaguana,Monte Plata,2017,7,155.19999999999999,33,22.9,9.5,80.400000000000006,1007.8
Bayaguana,Monte Plata,2017,9,520,32.299999999999997,23,12.4,81.5,1003.2
Cabrera,María Trinidad Sánchez,2017,10,130.1,31.9,19.899999999999999,8.6,77.400000000000006,1009.8
Cabrera,María Trinidad Sánchez,2017,12,132.9,29.8,18.600000000000001,8.4,77.099999999999994,1013.1
Cabrera,María Trinidad Sánchez,2017,3,239.4,28.7,17,8.1999999999999993,88.6,1014.3
Cabrera,María Trinidad Sánchez,2017,5,211.2,30.6,19.2,8,77.3,1013.6
Cabrera,María Trinidad Sánchez,2017,7,134.1,32.1,20.3,8.4,76.400000000000006,1014.6
Cabrera,María Trinidad Sánchez,2017,9,208.3,32.700000000000003,20.100000000000001,11,75.599999999999994,1076.0999999999999
Catey,Samaná,2017,10,165.5,31.5,22.6,9.9,83.2,1011.4
Catey,Samaná,2017,12,181.9,29.1,20.7,11.5,83.7,1016.5
Catey,Samaná,2017,3,359.4,28.4,19.600000000000001,15.3,82.5,1015.3
Catey,Samaná,2017,5,151.80000000000001,30.7,22.5,13.5,82.5,1014.2
Catey,Samaná,2017,7,251.1,31.3,23.1,10.5,25.5,1015.4
Catey,Samaná,2017,9,324.39999999999998,32.1,23.3,15.9,85.1,1010.1
Higüero,Santo Domingo,2017,10,140.19999999999999,32.1,22.9,7.9,76.900000000000006,1009.6
Higüero,Santo Domingo,2017,12,64.7,31.2,20.7,10.6,74.7,1012.9
Higüero,Santo Domingo,2017,3,34.799999999999997,30.8,20.399999999999999,12.3,70.099999999999994,1013.1
Higüero,Santo Domingo,2017,5,1.5,31.8,22.5,10.9,72,1015.7
Higüero,Santo Domingo,2017,7,90,32.6,23.7,9.5,75.400000000000006,1016.8
Higüero,Santo Domingo,2017,9,209.6,33,23.6,11.4,76.400000000000006,1008.9
Jimaní,Independencia,2017,10,96.5,34.5,24.5,11,73.5,1007.3
Jimaní,Independencia,2017,12,13,32.9,22.3,9,72.5,1010.9
Jimaní,Independencia,2017,3,84.5,32.700000000000003,22,11.2,69,1011.1
Jimaní,Independencia,2017,5,92.3,32.9,23.9,13.1,73.3,1009.6
Jimaní,Independencia,2017,7,49.2,,25.5,13.8,65.3,1010.7
Jimaní,Independencia,2017,9,61.2,35.4,25.2,11.8,71.7,1006.7
La Romana,La Romana,2017,10,178.2,31.5,22.1,6.9,87.8,1006.4
La Romana,La Romana,2017,12,0,0,,,,
La Romana,La Romana,2017,3,45.2,30.3,19.3,10.5,81.099999999999994,1009.8
La Romana,La Romana,2017,5,86,31.7,22.3,11.2,81,1008.9
La Romana,La Romana,2017,7,47.9,33.4,23.3,11.1,79.400000000000006,1009.9
La Romana,La Romana,2017,9,396.1,32.1,22.9,10.5,85,1012.6
Las Américas,Santo Domingo,2017,10,170.5,32.1,23.8,8.9,85.1,1010.6
Las Américas,Santo Domingo,2017,12,18.3,31.5,21.7,9.4,83.6,1013.8
Las Américas,Santo Domingo,2017,3,34.200000000000003,17.7,14.3,10.8,79.400000000000006,1014
Las Américas,Santo Domingo,2017,5,60.5,32,23,9.8000000000000007,82.8,1013.2
Las Américas,Santo Domingo,2017,7,106.7,32.9,24,9.5,82.2,1014
