Estación,Provincia,Año,Mes,Precipitación,Temperatura máxima,Temperatura mínima,Presión atmosférica,Velocidad del viento,Nubosidad,Humedad relativa
Arroyo Barril,Samaná,2011,10,86.9,32.1,21.5,1008.3,10.5,4.7,87.1
Arroyo Barril,Samaná,2011,12,107.4,29.3,18.3,1011.7,10.199999999999999,4.5,89
Arroyo Barril,Samaná,2011,3,10.199999999999999,31.1,19.8,1012.5,11.9,3.6,74.8
Arroyo Barril,Samaná,2011,5,333,30.7,22.2,1009.4,10.8,5.4,83
Arroyo Barril,Samaná,2011,7,524,31.5,22.8,1011.1,11.2,5.4,85.3
Arroyo Barril,Samaná,2011,9,184.8,32.299999999999997,22.3,1009.4,11,4.8,86.2
Arroyo Barril,Samaná,2012,10,249.5,32.200000000000003,19.5,1006.8,8.4,5.0999999999999996,88.1
Arroyo Barril,Samaná,2012,12,184.8,,,,,,
Arroyo Barril,Samaná,2012,3,129.9,30,17.5,1013,11.8,4.5999999999999996,87
Arroyo Barril,Samaná,2012,5,233.1,31.8,19.5,1010.4,12.1,4.9000000000000004,85.6
Arroyo Barril,Samaná,2012,7,177.2,32.799999999999997,20.399999999999999,1012,11.7,4.8,85.2
Arroyo Barril,Samaná,2012,9,65,33.5,19.600000000000001,1010,9.6,3.7,86.4
Arroyo Barril,Samaná,2013,10,229,32.6,24.1,1010.5,8.4,4.8,81.3
Arroyo Barril,Samaná,2013,12,234.7,29.5,21.6,1014,9.3000000000000007,4,83.2
Arroyo Barril,Samaná,2013,3,69.599999999999994,30.6,21.3,1012.5,11.3,4.4000000000000004,81.5
Arroyo Barril,Samaná,2013,5,267,32.1,23,1012.1,10.4,5,81.5
Arroyo Barril,Samaná,2013,7,133.30000000000001,32.200000000000003,24.2,1013.8,10.8,4.9000000000000004,82.6
Arroyo Barril,Samaná,2013,9,122.2,33.299999999999997,24.1,974.1,8.1999999999999993,4.5,80
Arroyo Barril,Samaná,2014,10,,33,23,1010.1,8.5,4.8,84.3
Arroyo Barril,Samaná,2014,12,60.7,29.8,20.5,1013.1,8.3000000000000007,4,80.900000000000006
Arroyo Barril,Samaná,2014,3,44.9,30.8,20.9,1012.8,10.6,4.4000000000000004,78.7
Arroyo Barril,Samaná,2014,5,181.6,32,22.8,1016.2,9.9,5,81.099999999999994
Arroyo Barril,Samaná,2014,7,79.5,32.6,23.8,1014.3,9.3000000000000007,4.9000000000000004,77.7
Arroyo Barril,Samaná,2014,9,270,32.1,23.2,1011.7,7,4.5,82.2
Arroyo Barril,Samaná,2015,10,147.4,33.700000000000003,23.7,1013.7,9.9,4,80.900000000000006
Arroyo Barril,Samaná,2015,12,405.8,30.7,22.1,1014.5,10,4.3,84.3
Arroyo Barril,Samaná,2015,3,56.7,31.5,20.6,1014.8,11.3,3.9,78.2
Arroyo Barril,Samaná,2015,5,119.4,32.799999999999997,22.7,1013.6,11.1,4.5,80
Arroyo Barril,Samaná,2015,7,77.599999999999994,33.6,23.3,1014.3,11.8,4,79.5
Arroyo Barril,Samaná,2015,9,70.900000000000006,34.299999999999997,23.8,1010.6,9.8000000000000007,4.3,79.400000000000006
Arroyo Barril,Samaná,2016,10,329,32.200000000000003,22.4,1007.4,7.4,5,83.6
Arroyo Barril,Samaná,2016,12,156.69999999999999,30.6,21.5,1013.5,8.9,4.0999999999999996,83.8
Arroyo Barril,Samaná,2016,3,210.9,30.8,21.8,1013.7,12.1,4,83.4
Arroyo Barril,Samaná,2016,5,312.7,31.1,23.4,1011.7,10.199999999999999,5.0999999999999996,84.6
Arroyo Barril,Samaná,2016,7,192.9,32,24.1,1026.3,11.4,4.5999999999999996,80.7
Arroyo Barril,Samaná,2016,9,199.9,32.6,22.3,1011.3,9.8000000000000007,4.2,81.599999999999994
Barahona,Barahona,2011,10,268,31.3,21.8,1010.8,11.8,4.7,78.8
Barahona,Barahona,2011,12,2.8,31.5,18.899999999999999,1013.6,10.8,3.3,70.3
Barahona,Barahona,2011,3,71.599999999999994,30.5,20.399999999999999,1014.4,17.5,3,64.599999999999994
Barahona,Barahona,2011,5,58.2,31.7,23,1010.9,16.899999999999999,4.8,73.099999999999994
Barahona,Barahona,2011,7,211.5,31.6,23.1,1013,14.9,5.0999999999999996,77.7
