SID,BASIN,SUBBASIN,NAME,NATURE,Year,Month,Day,USA_WIND,USA_PRES,Categoría,Zona afectada
1852247N14309,NA,NA,Unnamed,TS,1852,9,6,0,0,Depresión tropical,Aguas archipelagicas
1852247N14309,NA,NA,Unnamed,TS,1852,9,6,0,0,Depresión tropical,Aguas archipelagicas
1856235N13302,NA,NA,Unnamed,TS,1856,8,24,0,0,Depresión tropical,Aguas archipelagicas
1856235N13302,NA,NA,Unnamed,TS,1856,8,24,0,0,Depresión tropical,Aguas archipelagicas
1861221N13316,NA,NA,Unnamed,TS,1861,8,13,0,0,Depresión tropical,Aguas archipelagicas
1861221N13316,NA,NA,Unnamed,TS,1861,8,14,0,0,Depresión tropical,Aguas archipelagicas
1861221N13316,NA,NA,Unnamed,TS,1861,8,14,0,0,Depresión tropical,Aguas archipelagicas
1863255N15300,NA,NA,Unnamed,TS,1863,9,13,0,0,Depresión tropical,Aguas archipelagicas
1864246N17315,NA,NA,Unnamed,TS,1864,9,7,0,0,Depresión tropical,Aguas archipelagicas
1864246N17315,NA,NA,Unnamed,TS,1864,9,7,0,0,Depresión tropical,Aguas archipelagicas
1864246N17315,NA,NA,Unnamed,TS,1864,9,8,0,0,Depresión tropical,Aguas archipelagicas
1864283N18290,NA,NA,Unnamed,TS,1864,10,8,0,0,Depresión tropical,Aguas archipelagicas
1864283N18290,NA,NA,Unnamed,TS,1864,10,9,0,0,Depresión tropical,Aguas archipelagicas
1864283N18290,NA,NA,Unnamed,TS,1864,10,9,0,0,Depresión tropical,Aguas archipelagicas
1865282N19289,NA,NA,Unnamed,TS,1865,10,8,0,0,Depresión tropical,Aguas archipelagicas
1865282N19289,NA,NA,Unnamed,TS,1865,10,8,0,0,Depresión tropical,Aguas archipelagicas
1865282N19289,NA,NA,Unnamed,TS,1865,10,9,0,0,Depresión tropical,Aguas archipelagicas
1865282N19289,NA,NA,Unnamed,TS,1865,10,9,0,0,Depresión tropical,Aguas archipelagicas
1865282N19289,NA,NA,Unnamed,TS,1865,10,9,0,0,Depresión tropical,Aguas archipelagicas
1865282N19289,NA,NA,Unnamed,TS,1865,10,9,0,0,Depresión tropical,Aguas archipelagicas
1867281N14301,NA,NA,Unnamed,TS,1867,10,10,0,0,Depresión tropical,Aguas archipelagicas
1867281N14301,NA,NA,Unnamed,TS,1867,10,10,0,0,Depresión tropical,Aguas archipelagicas
1867281N14301,NA,NA,Unnamed,TS,1867,10,10,0,0,Depresión tropical,Aguas archipelagicas
1868193N13303,NA,NA,Unnamed,TS,1868,7,13,0,0,Depresión tropical,Aguas archipelagicas
1868288N16291,NA,NA,Unnamed,TS,1868,10,14,0,0,Depresión tropical,Aguas archipelagicas
1868288N16291,NA,NA,Unnamed,TS,1868,10,15,0,0,Depresión tropical,Aguas archipelagicas
1872280N18291,NA,NA,Unnamed,TS,1872,10,5,0,0,Depresión tropical,Aguas archipelagicas
1872280N18291,NA,NA,Unnamed,TS,1872,10,6,0,0,Depresión tropical,Aguas archipelagicas
1876231N14303,NA,CS,Unnamed,TS,1876,8,20,0,0,Depresión tropical,Aguas archipelagicas
1878329N17310,NA,CS,Unnamed,TS,1878,12,1,0,0,Depresión tropical,Aguas archipelagicas
1878329N17310,NA,CS,Unnamed,TS,1878,12,1,0,0,Depresión tropical,Aguas archipelagicas
1878329N17310,NA,CS,Unnamed,TS,1878,12,1,0,0,Depresión tropical,Aguas archipelagicas
1878329N17310,NA,NA,Unnamed,TS,1878,12,2,0,0,Depresión tropical,Aguas archipelagicas
1887280N18289,NA,CS,Unnamed,TS,1887,10,7,0,0,Depresión tropical,Aguas archipelagicas
1976278N15321,NA,NA,Unnamed,TS,1976,10,12,18,0,Depresión tropical,Aguas archipelagicas
1979190N20290,NA,NA,Unnamed,TS,1979,7,8,20,0,Depresión tropical,Aguas archipelagicas
1979197N13314,NA,NA,Claudette,TS,1979,7,19,20,1012,Depresión tropical,Aguas archipelagicas
1979197N13314,NA,NA,Claudette,TS,1979,7,19,20,1012,Depresión tropical,Aguas archipelagicas
2009279N15311,NA,NA,Henri,DS,2009,10,11,20,1012,Depresión tropical,Aguas archipelagicas
2009279N15311,NA,NA,Henri,DS,2009,10,11,20,1013,Depresión tropical,Aguas archipelagicas
2024214N18298,NA,NA,Debby,DS,2024,8,1,20,1013,Depresión tropical,Aguas archipelagicas
1974246N10341,NA,NA,Unnamed,TS,1974,9,11,23,0,Depresión tropical,Aguas archipelagicas
1979190N20290,NA,NA,Unnamed,TS,1979,7,8,23,0,Depresión tropical,Aguas archipelagicas
2024214N18298,NA,NA,Debby,DS,2024,8,1,23,1013,Depresión tropical,Aguas archipelagicas
1959264N20292,NA,NA,Gracie,TS,1959,9,20,25,1009,Depresión tropical,Aguas archipelagicas
1959264N20292,NA,NA,Gracie,TS,1959,9,20,25,0,Depresión tropical,Aguas archipelagicas
1970274N15306,NA,NA,Unnamed,TS,1970,10,8,25,0,Depresión tropical,Aguas archipelagicas
1970274N15306,NA,NA,Unnamed,TS,1970,10,8,25,0,Depresión tropical,Aguas archipelagicas
1970274N15306,NA,NA,Unnamed,TS,1970,10,9,25,0,Depresión tropical,Aguas archipelagicas
1974246N10341,NA,NA,Unnamed,TS,1974,9,11,25,0,Depresión tropical,Aguas archipelagicas
1976278N15321,NA,NA,Unnamed,TS,1976,10,12,25,0,Depresión tropical,Aguas archipelagicas
1979197N13314,NA,NA,Claudette,TS,1979,7,18,25,1012,Depresión tropical,Aguas archipelagicas
2006213N16302,NA,NA,Chris,DS,2006,8,4,25,1011,Depresión tropical,Aguas archipelagicas
1934324N23299,NA,NA,Unnamed,TS,1934,11,28,28,0,Depresión tropical,Aguas archipelagicas
1950231N12306,NA,NA,Baker,TS,1950,8,24,28,0,Depresión tropical,Aguas archipelagicas
1889231N17291,NA,NA,Unnamed,TS,1889,8,20,30,0,Depresión tropical,Aguas archipelagicas
1889231N17291,NA,NA,Unnamed,TS,1889,8,20,30,0,Depresión tropical,Aguas archipelagicas
1900297N15296,NA,NA,Unnamed,TS,1900,10,25,30,0,Depresión tropical,Aguas archipelagicas
1932240N21291,NA,NA,Unnamed,TS,1932,8,27,30,0,Depresión tropical,Aguas archipelagicas
1933274N20290,NA,NA,Unnamed,TS,1933,10,1,30,0,Depresión tropical,Aguas archipelagicas
1933274N20290,NA,NA,Unnamed,TS,1933,10,1,30,0,Depresión tropical,Aguas archipelagicas
1935135N17292,NA,CS,Unnamed,TS,1935,5,15,30,1006,Depresión tropical,Aguas archipelagicas
1935135N17292,NA,NA,Unnamed,TS,1935,5,15,30,0,Depresión tropical,Aguas archipelagicas
1935135N17292,NA,NA,Unnamed,TS,1935,5,16,30,0,Depresión tropical,Aguas archipelagicas
1950231N12306,NA,NA,Baker,TS,1950,8,24,30,0,Depresión tropical,Aguas archipelagicas
1952268N20291,NA,NA,Charlie,TS,1952,9,24,30,0,Depresión tropical,Aguas archipelagicas
1969281N20292,NA,NA,Kara,TS,1969,10,7,30,0,Depresión tropical,Aguas archipelagicas
1969281N20292,NA,NA,Kara,TS,1969,10,8,30,0,Depresión tropical,Aguas archipelagicas
1970247N17316,NA,NA,Unnamed,TS,1970,9,13,30,0,Depresión tropical,Aguas archipelagicas
1971233N12313,NA,NA,Doria,TS,1971,8,24,30,0,Depresión tropical,Aguas archipelagicas
