PERIODO,COD_MES,MES,CÓD_REGIÓN,REGIÓN,CÓD_PROVINCIA,PROVINCIA,CÓD_MUNICIPIO,MUNICIPIO,CÓD_CAPITULO,UNIDAD_EJECUTORA,CÓD_ECO_TITULO,ECO_TITULO,CÓD_ECO_SUB_TITULO,ECO_SUB_TITULO,CÓD_CONCEPTO,CONCEPTO,CÓD_CUENTA,CUENTA,PERCIBIDO
2022,01,Enero,10,Región Ozama o Metropolitana,01,Distrito Nacional,0001,Santo Domingo de Guzmán,7001,Ayuntamiento del Distrito Nacional,1.1,Ingresos corrientes,1.1.3,Ventas de bienes y servicios,1.5,Ingresos por contraprestación,1.5.1,Ventas de Bienes y Servicios,17488578.100000001
2022,01,Enero,10,Región Ozama o Metropolitana,01,Distrito Nacional,0001,Santo Domingo de Guzmán,7001,Ayuntamiento del Distrito Nacional,1.1,Ingresos corrientes,1.1.3,Ventas de bienes y servicios,1.5,Ingresos por contraprestación,1.5.1,Ventas de Bienes y Servicios,33376
2022,01,Enero,10,Región Ozama o Metropolitana,01,Distrito Nacional,0001,Santo Domingo de Guzmán,7001,Ayuntamiento del Distrito Nacional,1.1,Ingresos corrientes,1.1.3,Ventas de bienes y servicios,1.5,Ingresos por contraprestación,1.5.1,Ventas de Bienes y Servicios,66958004.490000002
2022,01,Enero,10,Región Ozama o Metropolitana,01,Distrito Nacional,0001,Santo Domingo de Guzmán,7001,Ayuntamiento del Distrito Nacional,1.1,Ingresos corrientes,1.1.3,Ventas de bienes y servicios,1.5,Ingresos por contraprestación,1.5.1,Ventas de Bienes y Servicios,249530.25
2022,01,Enero,10,Región Ozama o Metropolitana,01,Distrito Nacional,0001,Santo Domingo de Guzmán,7001,Ayuntamiento del Distrito Nacional,1.1,Ingresos corrientes,1.1.1,Impuestos,1.1,Impuestos,1.1.4,Impuestos Internos sobre Mercancías y Servicios,8378629.8899999997
2022,01,Enero,10,Región Ozama o Metropolitana,01,Distrito Nacional,0001,Santo Domingo de Guzmán,7001,Ayuntamiento del Distrito Nacional,1.1,Ingresos corrientes,1.1.1,Impuestos,1.1,Impuestos,1.1.4,Impuestos Internos sobre Mercancías y Servicios,38000
2022,01,Enero,10,Región Ozama o Metropolitana,01,Distrito Nacional,0001,Santo Domingo de Guzmán,7001,Ayuntamiento del Distrito Nacional,1.1,Ingresos corrientes,1.1.1,Impuestos,1.1,Impuestos,1.1.4,Impuestos Internos sobre Mercancías y Servicios,225909.1
2022,01,Enero,10,Región Ozama o Metropolitana,01,Distrito Nacional,0001,Santo Domingo de Guzmán,7001,Ayuntamiento del Distrito Nacional,1.1,Ingresos corrientes,1.1.1,Impuestos,1.1,Impuestos,1.1.4,Impuestos Internos sobre Mercancías y Servicios,238123
2022,01,Enero,10,Región Ozama o Metropolitana,01,Distrito Nacional,0001,Santo Domingo de Guzmán,7001,Ayuntamiento del Distrito Nacional,1.1,Ingresos corrientes,1.1.1,Impuestos,1.1,Impuestos,1.1.4,Impuestos Internos sobre Mercancías y Servicios,46497
2022,01,Enero,10,Región Ozama o Metropolitana,01,Distrito Nacional,0001,Santo Domingo de Guzmán,7001,Ayuntamiento del Distrito Nacional,1.1,Ingresos corrientes,1.1.1,Impuestos,1.1,Impuestos,1.1.4,Impuestos Internos sobre Mercancías y Servicios,293851.8
2022,01,Enero,10,Región Ozama o Metropolitana,01,Distrito Nacional,0001,Santo Domingo de Guzmán,7001,Ayuntamiento del Distrito Nacional,1.1,Ingresos corrientes,1.1.1,Impuestos,1.1,Impuestos,1.1.9,Impuestos Diversos,1325446.78
2022,01,Enero,10,Región Ozama o Metropolitana,01,Distrito Nacional,0001,Santo Domingo de Guzmán,7001,Ayuntamiento del Distrito Nacional,1.1,Ingresos corrientes,1.1.3,Ventas de bienes y servicios,1.5,Ingresos por contraprestación,1.5.1,Ventas de Bienes y Servicios,674723.79
2022,01,Enero,10,Región Ozama o Metropolitana,01,Distrito Nacional,0001,Santo Domingo de Guzmán,7001,Ayuntamiento del Distrito Nacional,1.1,Ingresos corrientes,1.1.3,Ventas de bienes y servicios,1.5,Ingresos por contraprestación,1.5.1,Ventas de Bienes y Servicios,618365
2022,01,Enero,10,Región Ozama o Metropolitana,01,Distrito Nacional,0001,Santo Domingo de Guzmán,7001,Ayuntamiento del Distrito Nacional,1.1,Ingresos corrientes,1.1.3,Ventas de bienes y servicios,1.5,Ingresos por contraprestación,1.5.1,Ventas de Bienes y Servicios,29940
2022,01,Enero,10,Región Ozama o Metropolitana,01,Distrito Nacional,0001,Santo Domingo de Guzmán,7001,Ayuntamiento del Distrito Nacional,1.1,Ingresos corrientes,1.1.3,Ventas de bienes y servicios,1.5,Ingresos por contraprestación,1.5.1,Ventas de Bienes y Servicios,22300
2022,01,Enero,10,Región Ozama o Metropolitana,01,Distrito Nacional,0001,Santo Domingo de Guzmán,7001,Ayuntamiento del Distrito Nacional,1.1,Ingresos corrientes,1.1.4,Rentas de la propiedad,1.6,Otros ingresos,1.6.1,Rentas de la Propiedad,411750
2022,01,Enero,10,Región Ozama o Metropolitana,01,Distrito Nacional,0001,Santo Domingo de Guzmán,7001,Ayuntamiento del Distrito Nacional,1.1,Ingresos corrientes,1.1.7,Multas y sanciones pecuniarias,1.6,Otros ingresos,1.6.3,Multas y Sanciones,825113.27
2022,01,Enero,01,Región Cibao Norte,18,Puerto Plata,0002,Altamira,7002,Ayuntamiento Municipal de Altamira,1.1,Ingresos corrientes,1.1.3,Ventas de bienes y servicios,1.5,Ingresos por contraprestación,1.5.1,Ventas de Bienes y Servicios,600
2022,01,Enero,01,Región Cibao Norte,18,Puerto Plata,0002,Altamira,7002,Ayuntamiento Municipal de Altamira,1.1,Ingresos corrientes,1.1.3,Ventas de bienes y servicios,1.5,Ingresos por contraprestación,1.5.1,Ventas de Bienes y Servicios,5200
2022,01,Enero,01,Región Cibao Norte,18,Puerto Plata,0002,Altamira,7002,Ayuntamiento Municipal de Altamira,1.1,Ingresos corrientes,1.1.1,Impuestos,1.1,Impuestos,1.1.4,Impuestos Internos sobre Mercancías y Servicios,9100
2022,01,Enero,01,Región Cibao Norte,18,Puerto Plata,0002,Altamira,7002,Ayuntamiento Municipal de Altamira,1.1,Ingresos corrientes,1.1.1,Impuestos,1.1,Impuestos,1.1.4,Impuestos Internos sobre Mercancías y Servicios,25450
2022,01,Enero,01,Región Cibao Norte,18,Puerto Plata,0002,Altamira,7002,Ayuntamiento Municipal de Altamira,1.1,Ingresos corrientes,1.1.1,Impuestos,1.1,Impuestos,1.1.4,Impuestos Internos sobre Mercancías y Servicios,18000
