"dataset","workbook","sheet","table","csv","rows","columns","bytes","sha256","source_url","download_date"
"atmosfera_clima_1991_2025","atmosfera_clima_1991_2025.xlsx","1991-2025","atmosfera_clima_1991_2025","atmosfera_clima_1991_2025.csv","18654","9","1323134","643C3FED360961FF88AA0D6E3088777C7D4B4A756AF9CA94FA0D12A2823B5CDB","https://www.one.gob.do/media/0aybenwv/base-de-datos-atm%C3%B3sfera-y-clima-1991-2025.xlsx","2026-07-25"
"atmosfera_clima_ca_2017_2023","atmosfera_clima_1991_2025.xlsx","CA_2017_2023","atmosfera_clima_ca_2017_2023","atmosfera_clima_ca_2017_2023.csv","720","10","64657","1CE5896B45C435D5D4580CF3DCD6D673DC358A9065563498AF9AD88D622F1C08","https://www.one.gob.do/media/0aybenwv/base-de-datos-atm%C3%B3sfera-y-clima-1991-2025.xlsx","2026-07-25"
"atmosfera_clima_ca_old","atmosfera_clima_1991_2025.xlsx","CA_old","atmosfera_clima_ca_old","atmosfera_clima_ca_old.csv","870","11","63573","099C3975E8FA299E6C0ADBAED30DE3B1633FA260D902CBE961F112B2813DB10C","https://www.one.gob.do/media/0aybenwv/base-de-datos-atm%C3%B3sfera-y-clima-1991-2025.xlsx","2026-07-25"
"eventos_fenomenos_naturales","eventos_fenomenos_naturales.xlsx","Base","eventos_fenomenos_naturales","eventos_fenomenos_naturales.csv","1387","12","126030","785A7D88330C8B06A9CD5369082210B592D86F329D01C50BEBE3A1B96DE62833","https://www.one.gob.do/media/wsfa2mqb/base-de-datos-de-eventos-y-fenomenos-naturales.xlsx","2026-07-25"
"gastos_gobiernos_locales_2022","gastos_gobiernos_locales_2022.xlsx","Gastos 2022","gastos_gobiernos_locales_2022","gastos_gobiernos_locales_2022.csv","149296","20","37063203","8105F30E5B4ECAA4E990DA0D8FFFC27989EEEE2F5586C25487F78D026A276E64","https://www.one.gob.do/media/3jwlzsfg/base-de-datos-de-gastos-de-los-gobienos-locales-2022.xlsx","2026-07-25"
"gastos_gobiernos_locales_2023","gastos_gobiernos_locales_2023.xlsx","Gastos 2023","gastos_gobiernos_locales_2023","gastos_gobiernos_locales_2023.csv","147525","20","36202222","E4F3733C648BF77872351023A47DF2D46EE6815DAE90A8B41E442ECDC04CD43B","https://www.one.gob.do/media/of4a3wbc/base-de-datos-de-los-gobiernos-locales-2023.xlsx","2026-07-25"
"gastos_gobiernos_locales_2024","gastos_gobiernos_locales_2024.xlsx","Gastos 2024","gastos_gobiernos_locales_2024","gastos_gobiernos_locales_2024.csv","126309","20","31174673","5B050C1866ED7FF99FFDB1A5D5121A80B47D5D62FE1E63D10F1E272F2EDE580F","https://www.one.gob.do/media/2iiomesv/base-de-datos-de-los-gobiernos-locales-2024.xlsx","2026-07-25"
"ingresos_gobiernos_locales_2022","ingresos_gobiernos_locales_2022.xlsx","Ingresos 2022","ingresos_gobiernos_locales_2022","ingresos_gobiernos_locales_2022.csv","18785","20","4108576","542FDAF34A8422ED6397B7C4528DE9611D68F20AC6099CB38F3E0AEAFFAB6D8E","https://www.one.gob.do/media/2fphze2s/base-de-datos-de-ingresos-de-los-gobiernos-locales-2022.xlsx","2026-07-25"
"ingresos_gobiernos_locales_2023","ingresos_gobiernos_locales_2023.xlsx","Ingresos 2023","ingresos_gobiernos_locales_2023","ingresos_gobiernos_locales_2023.csv","19097","20","4192384","43A7F4CDA9EAA0592A33EFF88B8C427DBC159EA80276B0D4B23E04C548906C4A","https://www.one.gob.do/media/ghypspwn/base-de-datos-ingresos-de-los-gobiernos-locales-2023.xlsx","2026-07-25"
"ingresos_gobiernos_locales_2024","ingresos_gobiernos_locales_2024.xlsx","Ingresos 2024","ingresos_gobiernos_locales_2024","ingresos_gobiernos_locales_2024.csv","19241","20","4227001","5C57A0A9356E427BEBA39785A8F6EDA668DE286EDBD479A7B85C304AFDD128D5","https://www.one.gob.do/media/h0wf25ut/base-de-datos-ingresos-de-los-gobiernos-locales-2024.xlsx","2026-07-25"
