dataset,file,bytes,sha256,download_date,official_page
ENHOGAR2022,enhogar_2022/Personas_ENH22.csv,16984576,BBF6BA6382B895E528AE690EF1892AFEF2B70513B0A5A8D475781ACEB0494FD2,2026-07-25,https://www.one.gob.do/datos-y-estadisticas/
ENHOGAR2022,enhogar_2022/Elegidos_ENH22.csv,37571223,35327803CC56491D2CDE3F5AE8DDEE715DDC8E5828F31E4036C7932F4EFC4C20,2026-07-25,https://www.one.gob.do/datos-y-estadisticas/
ENHOGAR2022,enhogar_2022/Libro_de_codigos_ENHOGAR2022_Personas.htm,239553,85725B5159BFF0DBD39C05CFC9784095CEB459243740163078404F61EFBE59AD,2026-07-25,https://www.one.gob.do/datos-y-estadisticas/
ENHOGAR2022,enhogar_2022/Libro_de_codigos_ENHOGAR2022_Elegidos.htm,850248,32AB4C7B4C611C736806D6D6F3F3117C26550E4A0D28E5363B207F0D620D34EF,2026-07-25,https://www.one.gob.do/datos-y-estadisticas/
ENHOGAR2024,enhogar_2024/Libro_de_codigo_ENHOGAR_2024_Personas.htm,79732,A1D51E3DB4D2C7A64D6D129B0C85526757E583224EF1CC7E879126186ABE06F4,2026-07-25,https://www.one.gob.do/datos-y-estadisticas/
ENHOGAR2024,enhogar_2024/Informe_general_ENHOGAR_2024.pdf,10236503,665F6FC38D15C3BB6D91D49059018BC6917460B00EE77A73D0D3981EC02A1337,2026-07-25,https://www.one.gob.do/publicaciones/2024/
ENHOGAR2024,enhogar_2024/BD_ENH24_PERSONAS.csv,3347199,4A698C56866FD9A96ABB5FCF6886ED2652601EFB5A7565E22AFAAF4EACF32A6B,2026-07-25,https://www.one.gob.do/datos-y-estadisticas/
ENHOGAR2024,enhogar_2024/BD_ENH24_HOGARES.csv,3383216,C475E180341D98222CBB1A5E548BC5CB49E8CB5B591EF3E0C58532D6C07A9967,2026-07-25,https://www.one.gob.do/datos-y-estadisticas/
ENHOGAR2024,enhogar_2024/Libro_de_codigo_ENHOGAR_2024_Hogares.htm,589255,26B35DAA40F141180A60F3430DAD815894E90DCF124081EB754C6A2280422009,2026-07-25,https://www.one.gob.do/datos-y-estadisticas/
ENAE2024,enae_2024/base_de_datos_general_ENAE_2024.xlsx,3061258,BDD96A09692D34F9EC68C0CD27AFAD21BEDD2342696A0116F1AE7435EC888570,2026-07-25,https://www.one.gob.do/media/z4ag3kyr/base-de-datos-general-encuesta-nacional-de-actividad-econ%C3%B3mica-2024.xlsx
