articulo,fuente,url,archivo_local,estado,utilidad
Mito de los atletas y spillover,ONE Boletín demográfico y social No. 8,https://www.one.gob.do/media/51gonsu4/bolet%C3%ADn-demogr%C3%A1fico-y-social-no-8-2.pdf,research/atletas-spillover/data/raw/one_boletin_deporte_2022.pdf,descargado,"Práctica deportiva, torneos, instalaciones y distribución territorial; no mide por sí solo spillovers económicos de atletas de élite"
Epicteto y fondo de emergencia,BCRD ENIEF 2023,https://cdn.bancentral.gov.do/documents/otras-publicaciones/documents/Informe_de_Encuesta_Nacional_de_Inclusion.pdf,research/epicteto-fondo-emergencia/data/raw/bcrd_enief_2023.pdf,descargado,"Respuestas ante emergencias por grupo de ingresos; sirve para el primer gráfico"
Nearshoring y sus límites,CNZFE Informe estadístico 2024,https://cnzfe.gob.do/wp-content/uploads/2025/08/Informe-Estadistico-2024.pdf,research/nearshoring-limites/data/raw/cnzfe_informe_estadistico_2024.pdf,descargado,"Empresas, empleo, exportaciones, inversión y salarios de zonas francas"
Nearshoring y sus límites,ProDominicana IED 2023 y primer semestre 2024,https://prointeligencia.prodominicana.gob.do/apiv2/data/post/67145731-8e32-458e-9983-827db3cc7624/pdf/Comportamiento%20de%20la%20IED%20en%20RD.pdf,research/nearshoring-limites/data/raw/prodominicana_ied_2023_2024.pdf,descargado,"Flujos de inversión extranjera; requiere separar anuncios de inversión ejecutada"
Trampa de ingresos medios,Banco Mundial Jobs Diagnostic RD,https://documents1.worldbank.org/curated/en/820141619770918898/pdf/Dominican-Republic-Jobs-Diagnostic.pdf,research/trampa-ingresos-medios/data/raw/world_bank_jobs_diagnostic_rd.pdf,descargado,"Productividad, empleo y calidad del trabajo"
Trampa de ingresos medios,Banco Mundial WDI PIB per cápita PPP,https://api.worldbank.org/v2/en/country/DOM;LAC;UMC/indicator/NY.GDP.PCAP.PP.KD?format=json&per_page=2000,research/trampa-ingresos-medios/data/raw/worldbank_gdp_pc_ppp.json,descargado,"Trayectoria comparable de ingreso per cápita"
Trampa de ingresos medios,Banco Mundial WDI productividad laboral,https://api.worldbank.org/v2/en/country/DOM;LAC;UMC/indicator/SL.GDP.PCAP.EM.KD?format=json&per_page=2000,research/trampa-ingresos-medios/data/raw/worldbank_productivity.json,descargado,"Productividad por persona empleada"
Trampa de ingresos medios,Banco Mundial WDI exportaciones/PIB,https://api.worldbank.org/v2/en/country/DOM;LAC;UMC/indicator/NE.EXP.GNFS.ZS?format=json&per_page=2000,research/trampa-ingresos-medios/data/raw/worldbank_exports_gdp.json,descargado,"Apertura exportadora para complementar el diagnóstico"
Ingenios azucareros,ONE República Dominicana en cifras 1978,https://ene.one.gob.do/media/stthgrj5/republica-dominicana-en-cifras-1978.pdf,research/ingenios-azucar/data/raw/rd_en_cifras_1978.pdf,descargado,"Series históricas de producción industrial y referencias a ingenios"
Ingenios azucareros,BCRD Boletín trimestral julio-septiembre 2025,https://repositoriocultural.bancentral.gov.do/bitstreams/e067f623-9a79-4480-ad98-1a9f45725475/download,research/ingenios-azucar/data/raw/bcrd_boletin_azucar_2025_t3.pdf,descargado,"Exportaciones de azúcar y derivados 2020-2025"
Ingenios azucareros,Ministerio de Agricultura informe caña 2012-2018,https://agricultura.gob.do/transparencia/wp-content/uploads/2022/12/Informe-de-seguimiento-Plan-Estrategico-institucional-PEI-Enero-2012-julio-2018.pdf,research/ingenios-azucar/data/raw/agricultura_cana_2012_2018.pdf,no descargado,"El servidor de Agricultura no resolvió durante la descarga; la URL queda documentada para reintento"
Ingenios azucareros,Ministerio de Agricultura memoria sector agropecuario 2020,https://agricultura.gob.do/transparencia/wp-content/uploads/2023/01/MEMORIA-SECTOR-AGROPECUARIO-2020-MINPRE.pdf,research/ingenios-azucar/data/raw/memoria_sector_agropecuario_2020.pdf,no descargado,"El servidor de Agricultura no resolvió durante la descarga; la URL queda documentada para reintento"
