fecha,producto,indice,compra
2020-10-01,Pollo fresco,109.8874707103,58.336
2020-11-01,Pollo fresco,118.351,58.2891
2020-12-01,Pollo fresco,118.952,58.0765
2020-01-01,Pollo fresco,126.974,53.0417
2021-02-01,Pollo fresco,126.163,57.8433
2021-03-01,Pollo fresco,125.805,57.1752
2021-04-01,Pollo fresco,125.412,56.7968
2021-05-01,Pollo fresco,126.566,56.7919
2021-06-01,Pollo fresco,129.164,56.8786
2021-07-01,Pollo fresco,131.615,56.9621
2021-08-01,Pollo fresco,141.752,56.92994285714286
2021-09-01,Pollo fresco,141.754,56.5349
2021-10-01,Pollo fresco,140.3,56.2688
2021-11-01,Pollo fresco,138.34,56.4591
2021-12-01,Pollo fresco,138.308,56.8245
2021-01-01,Pollo fresco,139.225,58.069
2022-02-01,Pollo fresco,139.706,56.3803
2022-03-01,Pollo fresco,144.077,54.8247
2022-04-01,Pollo fresco,147.421,54.9475
2022-05-01,Pollo fresco,149.218,55.0592
2022-06-01,Pollo fresco,155.172,54.733
2022-07-01,Pollo fresco,153.308,54.4699
2022-08-01,Pollo fresco,145.258,53.5684
2022-09-01,Pollo fresco,144.047,53.1725
2022-10-01,Pollo fresco,139.982,53.6738
2022-11-01,Pollo fresco,140.511,54.206
2022-12-01,Pollo fresco,146.204,55.2363
2022-01-01,Pollo fresco,152.99,57.524
2023-02-01,Pollo fresco,152.696,55.8418
2023-03-01,Pollo fresco,151.317,54.7709
2023-04-01,Pollo fresco,150.081,54.5299
2023-05-01,Pollo fresco,144.497,54.3775
2023-06-01,Pollo fresco,145.671,54.7738
2023-07-01,Pollo fresco,148.6149,55.7369
2023-08-01,Pollo fresco,153.9064,56.4882
2023-09-01,Pollo fresco,154.0262,56.6217
2023-10-01,Pollo fresco,150.1335,56.6767
2023-11-01,Pollo fresco,146.6164,56.708
2023-12-01,Pollo fresco,147.6387,57.2327
2023-01-01,Pollo fresco,150.5988,56.3664
2024-02-01,Pollo fresco,149.8684,58.5124
2024-03-01,Pollo fresco,149.2473,58.8773
2024-04-01,Pollo fresco,146.3532,58.7895
2024-05-01,Pollo fresco,140.0423,58.3908
2024-06-01,Pollo fresco,144.7828,58.9869
2024-07-01,Pollo fresco,153.2509,58.9809
2024-08-01,Pollo fresco,156.2389,59.4609
2024-09-01,Pollo fresco,157.1371,59.8079
2024-10-01,Pollo fresco,150.4131,59.9901
2024-11-01,Pollo fresco,141.7896,60.08370000000001
2024-12-01,Pollo fresco,146.5124,60.5631
2025-01-01,Pollo fresco,150.4454,61.2609
2025-02-01,Pollo fresco,150.6026,61.9837
2025-03-01,Pollo fresco,147.5046,62.7121
2025-04-01,Pollo fresco,144.4,60.4155
2025-05-01,Pollo fresco,143.5408,58.7366
2025-06-01,Pollo fresco,147.5461,59.0169
2025-07-01,Pollo fresco,151.5314,60.1943
2025-08-01,Pollo fresco,158.8465,61.7014
2025-09-01,Pollo fresco,157.5603,62.4361
2025-10-01,Pollo fresco,156.2378,63.2408
2025-11-01,Pollo fresco,155.3458,63.3838
2025-12-01,Pollo fresco,162.3898,63.0851
2026-01-01,Pollo fresco,174.9081,63.1114
2026-02-01,Pollo fresco,171.6841,61.6124
2026-03-01,Pollo fresco,168.0338,59.8943
2026-04-01,Pollo fresco,162.0679,59.6398
2026-05-01,Pollo fresco,151.3665,58.7974
2020-10-01,Pechuga de pollo,103.827402563308,58.336
2020-11-01,Pechuga de pollo,107.293,58.2891
2020-12-01,Pechuga de pollo,107.53,58.0765
2020-01-01,Pechuga de pollo,109.951,53.0417
2021-02-01,Pechuga de pollo,111.139,57.8433
2021-03-01,Pechuga de pollo,112.4,57.1752
2021-04-01,Pechuga de pollo,112.502,56.7968
2021-05-01,Pechuga de pollo,113.525,56.7919
2021-06-01,Pechuga de pollo,115.919,56.8786
2021-07-01,Pechuga de pollo,118.693,56.9621
2021-08-01,Pechuga de pollo,121.958,56.92994285714286
2021-09-01,Pechuga de pollo,122.154,56.5349
2021-10-01,Pechuga de pollo,122.531,56.2688
2021-11-01,Pechuga de pollo,122.345,56.4591
2021-12-01,Pechuga de pollo,122.832,56.8245
2021-01-01,Pechuga de pollo,122.835,58.069
2022-02-01,Pechuga de pollo,123.513,56.3803
2022-03-01,Pechuga de pollo,127.275,54.8247
2022-04-01,Pechuga de pollo,131.02100000000002,54.9475
2022-05-01,Pechuga de pollo,132.058,55.0592
2022-06-01,Pechuga de pollo,134.421,54.733
2022-07-01,Pechuga de pollo,136.241,54.4699
2022-08-01,Pechuga de pollo,136.261,53.5684
2022-09-01,Pechuga de pollo,135.682,53.1725
2022-10-01,Pechuga de pollo,135.097,53.6738
2022-11-01,Pechuga de pollo,135.159,54.206
2022-12-01,Pechuga de pollo,136.514,55.2363
2022-01-01,Pechuga de pollo,138.787,57.524
2023-02-01,Pechuga de pollo,139.481,55.8418
2023-03-01,Pechuga de pollo,139.892,54.7709
2023-04-01,Pechuga de pollo,139.226,54.5299
2023-05-01,Pechuga de pollo,137.615,54.3775
2023-06-01,Pechuga de pollo,137.884,54.7738
2023-07-01,Pechuga de pollo,138.3299,55.7369
2023-08-01,Pechuga de pollo,139.8085,56.4882
2023-09-01,Pechuga de pollo,139.3914,56.6217
2023-10-01,Pechuga de pollo,138.0186,56.6767
2023-11-01,Pechuga de pollo,137.171,56.708
2023-12-01,Pechuga de pollo,137.9293,57.2327
2023-01-01,Pechuga de pollo,138.7348,56.3664
2024-02-01,Pechuga de pollo,138.5152,58.5124
2024-03-01,Pechuga de pollo,138.0814,58.8773
2024-04-01,Pechuga de pollo,137.3549,58.7895
2024-05-01,Pechuga de pollo,136.5542,58.3908
2024-06-01,Pechuga de pollo,138.3079,58.9869
2024-07-01,Pechuga de pollo,140.7695,58.9809
2024-08-01,Pechuga de pollo,142.3087,59.4609
2024-09-01,Pechuga de pollo,142.7347,59.8079
2024-10-01,Pechuga de pollo,141.2349,59.9901
2024-11-01,Pechuga de pollo,140.1606,60.08370000000001
2024-12-01,Pechuga de pollo,141.4156,60.5631
2025-01-01,Pechuga de pollo,142.048,61.2609
2025-02-01,Pechuga de pollo,141.6736,61.9837
2025-03-01,Pechuga de pollo,141.4764,62.7121
2025-04-01,Pechuga de pollo,140.3947,60.4155
2025-05-01,Pechuga de pollo,139.9929,58.7366
2025-06-01,Pechuga de pollo,141.3341,59.0169
2025-07-01,Pechuga de pollo,142.3716,60.1943
2025-08-01,Pechuga de pollo,144.5048,61.7014
2025-09-01,Pechuga de pollo,144.9683,62.4361
2025-10-01,Pechuga de pollo,144.56,63.2408
2025-11-01,Pechuga de pollo,144.4794,63.3838
2025-12-01,Pechuga de pollo,147.0856,63.0851
2026-01-01,Pechuga de pollo,154.2109,63.1114
2026-02-01,Pechuga de pollo,153.8634,61.6124
2026-03-01,Pechuga de pollo,152.9425,59.8943
2026-04-01,Pechuga de pollo,150.4571,59.6398
2026-05-01,Pechuga de pollo,147.0533,58.7974
2020-10-01,Carnes,106.150943212846,58.336
2020-11-01,Carnes,110.692,58.2891
2020-12-01,Carnes,112.063,58.0765
2020-01-01,Carnes,117.416,53.0417
2021-02-01,Carnes,119.098,57.8433
2021-03-01,Carnes,119.775,57.1752
2021-04-01,Carnes,120.06,56.7968
2021-05-01,Carnes,121.073,56.7919
2021-06-01,Carnes,124.01,56.8786
2021-07-01,Carnes,126.103,56.9621
2021-08-01,Carnes,131.279,56.92994285714286
2021-09-01,Carnes,132.061,56.5349
2021-10-01,Carnes,132.256,56.2688
2021-11-01,Carnes,131.99,56.4591
2021-12-01,Carnes,132.576,56.8245
2021-01-01,Carnes,133.688,58.069
2022-02-01,Carnes,134.451,56.3803
2022-03-01,Carnes,137.262,54.8247
2022-04-01,Carnes,140.275,54.9475
2022-05-01,Carnes,141.723,55.0592
2022-06-01,Carnes,144.777,54.733
2022-07-01,Carnes,144.284,54.4699
2022-08-01,Carnes,140.956,53.5684
2022-09-01,Carnes,140.69,53.1725
2022-10-01,Carnes,139.239,53.6738
2022-11-01,Carnes,139.687,54.206
2022-12-01,Carnes,142.578,55.2363
2022-01-01,Carnes,146.168,57.524
2023-02-01,Carnes,146.489,55.8418
2023-03-01,Carnes,146.206,54.7709
2023-04-01,Carnes,145.833,54.5299
2023-05-01,Carnes,143.345,54.3775
2023-06-01,Carnes,143.525,54.7738
2023-07-01,Carnes,144.7852,55.7369
2023-08-01,Carnes,147.1925,56.4882
2023-09-01,Carnes,147.3937,56.6217
2023-10-01,Carnes,145.7229,56.6767
2023-11-01,Carnes,144.1978,56.708
2023-12-01,Carnes,144.9452,57.2327
2023-01-01,Carnes,146.6095,56.3664
2024-02-01,Carnes,146.5344,58.5124
2024-03-01,Carnes,146.3668,58.8773
2024-04-01,Carnes,145.1979,58.7895
2024-05-01,Carnes,142.4373,58.3908
2024-06-01,Carnes,144.6395,58.9869
2024-07-01,Carnes,148.5607,58.9809
2024-08-01,Carnes,149.9659,59.4609
2024-09-01,Carnes,150.428,59.8079
2024-10-01,Carnes,147.6104,59.9901
2024-11-01,Carnes,143.8747,60.08370000000001
2024-12-01,Carnes,146.1722,60.5631
2025-01-01,Carnes,148.2211,61.2609
2025-02-01,Carnes,148.6322,61.9837
2025-03-01,Carnes,147.3781,62.7121
2025-04-01,Carnes,146.0955,60.4155
2025-05-01,Carnes,145.855,58.7366
2025-06-01,Carnes,147.9174,59.0169
2025-07-01,Carnes,150.2377,60.1943
2025-08-01,Carnes,153.9317,61.7014
2025-09-01,Carnes,153.6949,62.4361
2025-10-01,Carnes,153.8615,63.2408
2025-11-01,Carnes,154.5769,63.3838
2025-12-01,Carnes,158.3921,63.0851
2026-01-01,Carnes,164.5297,63.1114
2026-02-01,Carnes,163.5859,61.6124
2026-03-01,Carnes,162.6787,59.8943
2026-04-01,Carnes,160.248,59.6398
2026-05-01,Carnes,155.8035,58.7974
