producto,anio,mes,indice_base
Carnes,2020,10,90.40585883767629
Carnes,2020,11,94.27335286502691
Carnes,2020,12,95.44099611637257
Carnes,2021,1,113.85841793282006
Carnes,2021,2,101.43251345642842
Carnes,2021,3,102.00909586427744
Carnes,2021,4,102.25182257954623
Carnes,2021,5,103.11456700960686
Carnes,2021,6,105.61592968590311
Carnes,2021,7,107.39848061592969
Carnes,2021,8,111.80673843428494
Carnes,2021,9,112.4727464740751
Carnes,2021,10,112.63882264768004
Carnes,2021,11,112.41227771342918
Carnes,2021,12,112.9113579069292
Carnes,2022,1,124.48729304353752
Carnes,2022,2,114.50824419159228
Carnes,2022,3,116.90229610955919
Carnes,2022,4,119.4683859099271
Carnes,2022,5,120.70160795802958
Carnes,2022,6,123.30261633848879
Carnes,2022,7,122.88274170470805
Carnes,2022,8,120.04837500851671
Carnes,2022,9,119.82183007426586
Carnes,2022,10,118.58605300810792
Carnes,2022,11,118.96760237105677
Carnes,2022,12,121.42978810383595
Carnes,2023,1,124.86330653403283
Carnes,2023,2,124.76067997547183
Carnes,2023,3,124.51965660557333
Carnes,2023,4,124.20198269401104
Carnes,2023,5,122.08302105334879
Carnes,2023,6,122.23632213667643
Carnes,2023,7,123.30960005450706
Carnes,2023,8,125.35983170947742
Carnes,2023,9,125.53118825373032
Carnes,2023,10,124.10821353137564
Carnes,2023,11,122.80932751924782
Carnes,2023,12,123.44586768413164
Carnes,2024,2,124.79934591537781
Carnes,2024,3,124.65660557334606
Carnes,2024,4,123.66108537166997
Carnes,2024,5,121.30995775703481
Carnes,2024,6,123.18551134428017
Carnes,2024,7,126.52509027730463
Carnes,2024,8,127.72186073448253
Carnes,2024,9,128.11541868229202
Carnes,2024,10,125.71574572460311
Carnes,2024,11,122.53415207467467
Carnes,2024,12,124.49087006881517
Carnes,2025,1,126.23586223342646
Carnes,2025,2,126.58598487429313
Carnes,2025,3,125.51790215984192
Carnes,2025,4,124.42554677386387
Carnes,2025,5,124.2207194930844
Carnes,2025,6,125.97720923894528
Carnes,2025,7,127.95334537030728
Carnes,2025,8,131.09942426926483
Carnes,2025,9,130.89774817742045
Carnes,2025,10,131.03963684676705
Carnes,2025,11,131.64892348572596
Carnes,2025,12,134.89822511412413
Carnes,2026,1,140.1254513865231
Carnes,2026,2,139.32164270627513
Carnes,2026,3,138.54900524630372
Carnes,2026,4,136.4788444505008
Carnes,2026,5,132.69358520133545
Pechuga de pollo,2020,10,94.43061233031806
Pechuga de pollo,2020,11,97.58255950377897
Pechuga de pollo,2020,12,97.79811006721177
Pechuga de pollo,2021,1,111.71794708551992
Pechuga de pollo,2021,2,101.08048130530874
Pechuga de pollo,2021,3,102.22735582213896
Pechuga de pollo,2021,4,102.3201244190594
Pechuga de pollo,2021,5,103.25053887640858
Pechuga de pollo,2021,6,105.42787241589436
Pechuga de pollo,2021,7,107.9508144537112
Pechuga de pollo,2021,8,110.92031905121372
Pechuga de pollo,2021,9,111.0985802766687
Pechuga de pollo,2021,10,111.44146028685506
Pechuga de pollo,2021,11,111.27229402188249
Pechuga de pollo,2021,12,111.71521859737518
Pechuga de pollo,2022,1,126.22622804703914
Pechuga de pollo,2022,2,112.33458540622642
Pechuga de pollo,2022,3,115.75610953970406
Pechuga de pollo,2022,4,119.16308173640988
Pechuga de pollo,2022,5,120.1062291384344
Pechuga de pollo,2022,6,122.25536830042473
Pechuga de pollo,2022,7,123.91065110822096
Pechuga de pollo,2022,8,123.92884102918573
Pechuga de pollo,2022,9,123.40224281725496
Pechuga de pollo,2022,10,122.87018762903476
Pechuga de pollo,2022,11,122.92657638402561
Pechuga de pollo,2022,12,124.15894352939038
Pechuga de pollo,2023,1,126.17875235332104
Pechuga de pollo,2023,2,126.85741830451747
Pechuga de pollo,2023,3,127.23122118034397
Pechuga de pollo,2023,4,126.62549681221637
Pechuga de pollo,2023,5,125.16029867850224
Pechuga de pollo,2023,6,125.4049531154787
Pechuga de pollo,2023,7,125.81049740338881
Pechuga de pollo,2023,8,127.15527826031597
Pechuga de pollo,2023,9,126.7759274585952
Pechuga de pollo,2023,10,125.52737128357177
Pechuga de pollo,2023,11,124.75648243308382
Pechuga de pollo,2023,12,125.44615328646398
Pechuga de pollo,2024,2,125.97902702112759
Pechuga de pollo,2024,3,125.58448763540123
Pechuga de pollo,2024,4,124.92373875635509
Pechuga de pollo,2024,5,124.19550527052961
Pechuga de pollo,2024,6,125.7904884903275
Pechuga de pollo,2024,7,128.02930396267428
Pechuga de pollo,2024,8,129.42920028012477
Pechuga de pollo,2024,9,129.8166455966749
Pechuga de pollo,2024,10,128.45258342352506
Pechuga de pollo,2024,11,127.47551181890115
Pechuga de pollo,2024,12,128.61692935944194
Pechuga de pollo,2025,1,129.19209466034872
Pechuga de pollo,2025,2,128.85157933988776
Pechuga de pollo,2025,3,128.67222671917492
Pechuga de pollo,2025,4,127.68842484379405
Pechuga de pollo,2025,5,127.32298933161135
Pechuga de pollo,2025,6,128.5428054315104
Pechuga de pollo,2025,7,129.48640758155906
Pechuga de pollo,2025,8,131.42654455166394
Pechuga de pollo,2025,9,131.84809597002302
Pechuga de pollo,2025,10,131.47674873352676
Pechuga de pollo,2025,11,131.40344335203864
Pechuga de pollo,2025,12,133.77377195296086
Pechuga de pollo,2026,1,140.254204145483
Pechuga de pollo,2026,2,139.93815426871973
Pechuga de pollo,2026,3,139.1005993578958
Pechuga de pollo,2026,4,136.84013787960092
Pechuga de pollo,2026,5,133.74439523060272
Pollo fresco,2020,10,86.54328501134088
Pollo fresco,2020,11,93.20884590546096
Pollo fresco,2020,12,93.68217115314947
Pollo fresco,2021,1,109.648431962449
Pollo fresco,2021,2,99.36128656260335
Pollo fresco,2021,3,99.07933907729141
Pollo fresco,2021,4,98.76982689369477
Pollo fresco,2021,5,99.67867437428134
Pollo fresco,2021,6,101.72476254981332
Pollo fresco,2021,7,103.65507899254965
Pollo fresco,2021,8,111.63860317860349
Pollo fresco,2021,9,111.64017830421976
Pollo fresco,2021,10,110.49506198119302
Pollo fresco,2021,11,108.95143887725045
Pollo fresco,2021,12,108.92623686739016
Pollo fresco,2022,1,120.48923401641281
Pollo fresco,2022,2,110.02724967316142
Pollo fresco,2022,3,113.46968670751492
Pollo fresco,2022,4,116.10329673791483
Pollo fresco,2022,5,117.51854710413154
Pollo fresco,2022,6,122.20769606376108
Pollo fresco,2022,7,120.7396789893994
Pollo fresco,2022,8,114.39979838392112
Pollo fresco,2022,9,113.4460598232709
Pollo fresco,2022,10,110.2446170082064
Pollo fresco,2022,11,110.66123773370926
Pollo fresco,2022,12,115.14483280041584
Pollo fresco,2023,1,118.60601382960292
Pollo fresco,2023,2,120.25769055082142
Pollo fresco,2023,3,119.17164143840472
Pollo fresco,2023,4,118.19821380755114
Pollo fresco,2023,5,113.80046308693119
Pollo fresco,2023,6,114.72506182368042
Pollo fresco,2023,7,117.04356797454597
Pollo fresco,2023,8,121.21095657378675
Pollo fresco,2023,9,121.3053065982012
Pollo fresco,2023,10,118.23956085497818
Pollo fresco,2023,11,115.46962370249027
Pollo fresco,2023,12,116.27474916124561
Pollo fresco,2024,2,118.03077795454188
Pollo fresco,2024,3,117.54162269440987
Pollo fresco,2024,4,115.2623371713894
Pollo fresco,2024,5,110.2921070455369
Pollo fresco,2024,6,114.02554853749587
Pollo fresco,2024,7,120.69470915305496
Pollo fresco,2024,8,123.04794682375919
Pollo fresco,2024,9,123.75533573802511
Pollo fresco,2024,10,118.45976341613242
