PROV,TOPONIMIA,provincia,energia_suministrada_gwh,perdida_gwh,perdida_pct,corte,fuente_pdf,definicion_perdida,componentes
01,DISTRITO NACIONAL,Distrito Nacional,3414.67,649.95,19.034050142473507,may 2025 - abr 2026,mem_gestion-comercial_2026_Informe_Gestion_Comercial_EDE_abril_2026.pdf,Energia suministrada menos energia facturada; perdida total reportada,El informe no desagrega perdidas tecnicas y no tecnicas
02,AZUA,Azua,335.37,161.08,48.030533440677466,may 2025 - abr 2026,mem_gestion-comercial_2026_Informe_Gestion_Comercial_EDE_abril_2026.pdf,Energia suministrada menos energia facturada; perdida total reportada,El informe no desagrega perdidas tecnicas y no tecnicas
03,BAORUCO,Baoruco,246.93,162.47,65.79597456769125,may 2025 - abr 2026,mem_gestion-comercial_2026_Informe_Gestion_Comercial_EDE_abril_2026.pdf,Energia suministrada menos energia facturada; perdida total reportada,El informe no desagrega perdidas tecnicas y no tecnicas
04,BARAHONA,Barahona,288.23,152.94,53.06179093085383,may 2025 - abr 2026,mem_gestion-comercial_2026_Informe_Gestion_Comercial_EDE_abril_2026.pdf,Energia suministrada menos energia facturada; perdida total reportada,El informe no desagrega perdidas tecnicas y no tecnicas
05,DAJABÓN,Dajabon,102.2,15.05,14.726027397260273,may 2025 - abr 2026,mem_gestion-comercial_2026_Informe_Gestion_Comercial_EDE_abril_2026.pdf,Energia suministrada menos energia facturada; perdida total reportada,El informe no desagrega perdidas tecnicas y no tecnicas
06,DUARTE,Duarte,549.8,169.42,30.814841760640235,may 2025 - abr 2026,mem_gestion-comercial_2026_Informe_Gestion_Comercial_EDE_abril_2026.pdf,Energia suministrada menos energia facturada; perdida total reportada,El informe no desagrega perdidas tecnicas y no tecnicas
07,ELÍAS PIÑA,Elias Pina,36.56,12.53,34.272428884026255,may 2025 - abr 2026,mem_gestion-comercial_2026_Informe_Gestion_Comercial_EDE_abril_2026.pdf,Energia suministrada menos energia facturada; perdida total reportada,El informe no desagrega perdidas tecnicas y no tecnicas
08,EL SEIBO,El Seibo,107.3,59.43,55.38676607642125,may 2025 - abr 2026,mem_gestion-comercial_2026_Informe_Gestion_Comercial_EDE_abril_2026.pdf,Energia suministrada menos energia facturada; perdida total reportada,El informe no desagrega perdidas tecnicas y no tecnicas
09,ESPAILLAT,Espaillat,314.1,89.86,28.60872333651703,may 2025 - abr 2026,mem_gestion-comercial_2026_Informe_Gestion_Comercial_EDE_abril_2026.pdf,Energia suministrada menos energia facturada; perdida total reportada,El informe no desagrega perdidas tecnicas y no tecnicas
10,INDEPENDENCIA,Independencia,35.53,17.48,49.19786096256684,may 2025 - abr 2026,mem_gestion-comercial_2026_Informe_Gestion_Comercial_EDE_abril_2026.pdf,Energia suministrada menos energia facturada; perdida total reportada,El informe no desagrega perdidas tecnicas y no tecnicas
11,LA ALTAGRACIA,La Altagracia,651.5,435.57,66.85648503453568,may 2025 - abr 2026,mem_gestion-comercial_2026_Informe_Gestion_Comercial_EDE_abril_2026.pdf,Energia suministrada menos energia facturada; perdida total reportada,El informe no desagrega perdidas tecnicas y no tecnicas
12,LA ROMANA,La Romana,556.7,343.38,61.68133644691934,may 2025 - abr 2026,mem_gestion-comercial_2026_Informe_Gestion_Comercial_EDE_abril_2026.pdf,Energia suministrada menos energia facturada; perdida total reportada,El informe no desagrega perdidas tecnicas y no tecnicas
13,LA VEGA,La Vega,695.2,189.05,27.19361334867664,may 2025 - abr 2026,mem_gestion-comercial_2026_Informe_Gestion_Comercial_EDE_abril_2026.pdf,Energia suministrada menos energia facturada; perdida total reportada,El informe no desagrega perdidas tecnicas y no tecnicas
14,MARÍA TRINIDAD SÁNCHEZ,Maria Trinidad Sanchez,262.6,110.52,42.086824067022086,may 2025 - abr 2026,mem_gestion-comercial_2026_Informe_Gestion_Comercial_EDE_abril_2026.pdf,Energia suministrada menos energia facturada; perdida total reportada,El informe no desagrega perdidas tecnicas y no tecnicas
15,MONTE CRISTI,Monte Cristi,151.3,37.81,24.99008592200925,may 2025 - abr 2026,mem_gestion-comercial_2026_Informe_Gestion_Comercial_EDE_abril_2026.pdf,Energia suministrada menos energia facturada; perdida total reportada,El informe no desagrega perdidas tecnicas y no tecnicas
16,PEDERNALES,Pedernales,33.94,16.84,49.61697112551562,may 2025 - abr 2026,mem_gestion-comercial_2026_Informe_Gestion_Comercial_EDE_abril_2026.pdf,Energia suministrada menos energia facturada; perdida total reportada,El informe no desagrega perdidas tecnicas y no tecnicas
17,PERAVIA,Peravia,406.52,202.85,49.89914395355702,may 2025 - abr 2026,mem_gestion-comercial_2026_Informe_Gestion_Comercial_EDE_abril_2026.pdf,Energia suministrada menos energia facturada; perdida total reportada,El informe no desagrega perdidas tecnicas y no tecnicas
18,PUERTO PLATA,Puerto Plata,728.9,95.44,13.093702839895734,may 2025 - abr 2026,mem_gestion-comercial_2026_Informe_Gestion_Comercial_EDE_abril_2026.pdf,Energia suministrada menos energia facturada; perdida total reportada,El informe no desagrega perdidas tecnicas y no tecnicas
19,HERMANAS MIRABAL,Hermanas Mirabal,130.9,47.34,36.165011459129104,may 2025 - abr 2026,mem_gestion-comercial_2026_Informe_Gestion_Comercial_EDE_abril_2026.pdf,Energia suministrada menos energia facturada; perdida total reportada,El informe no desagrega perdidas tecnicas y no tecnicas
20,SAMANÁ,Samana,157.1,72.46,46.123488224061106,may 2025 - abr 2026,mem_gestion-comercial_2026_Informe_Gestion_Comercial_EDE_abril_2026.pdf,Energia suministrada menos energia facturada; perdida total reportada,El informe no desagrega perdidas tecnicas y no tecnicas
21,SAN CRISTÓBAL,San Cristobal,1127.72,468.91,41.58035682616252,may 2025 - abr 2026,mem_gestion-comercial_2026_Informe_Gestion_Comercial_EDE_abril_2026.pdf,Energia suministrada menos energia facturada; perdida total reportada,El informe no desagrega perdidas tecnicas y no tecnicas
22,SAN JUAN,San Juan,218.51,52.19,23.88449041233811,may 2025 - abr 2026,mem_gestion-comercial_2026_Informe_Gestion_Comercial_EDE_abril_2026.pdf,Energia suministrada menos energia facturada; perdida total reportada,El informe no desagrega perdidas tecnicas y no tecnicas
23,SAN PEDRO DE MACORÍS,San Pedro de Macoris,733.2,431.52,58.85433715220949,may 2025 - abr 2026,mem_gestion-comercial_2026_Informe_Gestion_Comercial_EDE_abril_2026.pdf,Energia suministrada menos energia facturada; perdida total reportada,El informe no desagrega perdidas tecnicas y no tecnicas
24,SANCHEZ RAMÍREZ,Sanchez Ramirez,208,89.69,43.12019230769231,may 2025 - abr 2026,mem_gestion-comercial_2026_Informe_Gestion_Comercial_EDE_abril_2026.pdf,Energia suministrada menos energia facturada; perdida total reportada,El informe no desagrega perdidas tecnicas y no tecnicas
