"year","category","catalog_url","source_url","local_file","status","sha256"
"2009","desempeno","https://mem.gob.do/category/sector-electrico/informe-de-desempeno/2009/","https://mem.gob.do/wp-content/uploads/2021/09/02-Febrero-2009.pdf","mem_desempeno_2009_02-Febrero-2009.pdf","existing","D0F6E176C544EBB4836949C82EA4D45D601BAA133DC8F5F989C0E857200F8754"
"2009","desempeno","https://mem.gob.do/category/sector-electrico/informe-de-desempeno/2009/","https://mem.gob.do/wp-content/uploads/2021/09/03-Marzo-2009.pdf","mem_desempeno_2009_03-Marzo-2009.pdf","existing","E74FCD5D23752F63123EE76CC3CB6E8F9B6E93960790D6FB6FEA12DB5CFB7E16"
"2009","desempeno","https://mem.gob.do/category/sector-electrico/informe-de-desempeno/2009/","https://mem.gob.do/wp-content/uploads/2021/09/04-Abril-2009.pdf","mem_desempeno_2009_04-Abril-2009.pdf","existing","C1D38E0B821DB542B47B5628CD724AE16B5B69F82A606DDF02909D1A291FFCC5"
"2009","desempeno","https://mem.gob.do/category/sector-electrico/informe-de-desempeno/2009/","https://mem.gob.do/wp-content/uploads/2021/09/06-Junio-2009-1.pdf","mem_desempeno_2009_06-Junio-2009-1.pdf","existing","4628B343FB545BFD0248277CE01BC6FA29E061D61D13DD1F38124C5885FB0D86"
"2009","desempeno","https://mem.gob.do/category/sector-electrico/informe-de-desempeno/2009/","https://mem.gob.do/wp-content/uploads/2021/09/07-Julio-2009.pdf","mem_desempeno_2009_07-Julio-2009.pdf","existing","5B52A77B402D7BCC128E90ACBF3C127E7957C90180A0DE2F78738B47EAB3FD29"
"2009","desempeno","https://mem.gob.do/category/sector-electrico/informe-de-desempeno/2009/","https://mem.gob.do/wp-content/uploads/2021/09/08-Agosto-2009.pdf","mem_desempeno_2009_08-Agosto-2009.pdf","existing","58E55677CE0CFE3292DBB3065FD81AFEE644A3D9C54BD95706E3B64F34E3244A"
"2009","desempeno","https://mem.gob.do/category/sector-electrico/informe-de-desempeno/2009/","https://mem.gob.do/wp-content/uploads/2021/09/11-Noviembre-2009.pdf","mem_desempeno_2009_11-Noviembre-2009.pdf","existing","1FB8C581119300BFB6E88A13984295FD7941CB6010A7533E0BA7EA4AFD7ABFB3"
"2009","desempeno","https://mem.gob.do/category/sector-electrico/informe-de-desempeno/2009/","https://mem.gob.do/wp-content/uploads/2021/09/12-Diciembre-2009.pdf","mem_desempeno_2009_12-Diciembre-2009.pdf","existing","546A03B9870FF111E45D390E8E1948A5D551FE37E67189BBD1B4C45E56CFBA23"
"2015","desempeno","https://mem.gob.do/category/sector-electrico/informe-de-desempeno/2015/","https://mem.gob.do/wp-content/uploads/2021/09/Informe-de-GestiA³n-Comercial-Dic15-Portal.pdf","mem_desempeno_2015_Informe-de-GestiA_C2_B3n-Comercial-Dic15-Portal.pdf","existing","B5DADA31947AF3DABE50839537029906AAABD770940BE3124D24906EE13A8DB7"
"2016","desempeno","https://mem.gob.do/category/sector-electrico/informe-de-desempeno/2016/","https://mem.gob.do/wp-content/uploads/2021/09/Informe-de-Gestion-Comercial-Dic.-2016-Portal.pdf","mem_desempeno_2016_Informe-de-Gestion-Comercial-Dic.-2016-Portal.pdf","existing","092230944A8FD8798C7F352DA1C223BFC4E036C4629965F5B9B5FE1A325DE683"
