salario,sfs_empleador,pension_empleador,riesgos_bajo,infotep,salario_neto_sin_isr,costo_directo_bajo,sueldo_13,vacaciones_14_dias,costo_anualizado_bajo
17701.25,1255.0186250000002,1256.78875,194.71374999999998,177.01250000000002,16655.106125000002,20584.783625,1475.1041666666667,688.3819444444445,22748.269736111113
18201.25,1290.468625,1292.28875,200.21374999999998,182.01250000000002,17125.556125,21166.233625,1516.7708333333333,707.8263888888889,23390.830847222223
18701.25,1325.918625,1327.78875,205.71374999999998,187.01250000000002,17596.006125,21747.683624999998,1558.4375,727.2708333333334,24033.39195833333
19201.25,1361.368625,1363.28875,211.21374999999998,192.01250000000002,18066.456125,22329.133625,1600.1041666666667,746.7152777777778,24675.953069444444
19701.25,1396.818625,1398.78875,216.71374999999998,197.01250000000002,18536.906124999998,22910.583625,1641.7708333333333,766.1597222222222,25318.514180555554
20201.25,1432.2686250000002,1434.28875,222.21374999999998,202.01250000000002,19007.356125000002,23492.033625,1683.4375,785.6041666666666,25961.075291666668
20701.25,1467.7186250000002,1469.78875,227.71374999999998,207.01250000000002,19477.806125,24073.483625,1725.1041666666667,805.0486111111111,26603.636402777778
21201.25,1503.168625,1505.28875,233.21374999999998,212.01250000000002,19948.256125,24654.933624999998,1766.7708333333333,824.4930555555555,27246.197513888885
21701.25,1538.618625,1540.78875,238.71374999999998,217.01250000000002,20418.706125,25236.383625,1808.4375,843.9375,27888.758625
22201.25,1574.068625,1576.28875,244.21374999999998,222.01250000000002,20889.156124999998,25817.833625,1850.1041666666667,863.3819444444445,28531.319736111112
22701.25,1609.5186250000002,1611.78875,249.71374999999998,227.01250000000002,21359.606125000002,26399.283625,1891.7708333333333,882.8263888888889,29173.880847222223
23201.25,1644.9686250000002,1647.28875,255.21374999999998,232.01250000000002,21830.056125,26980.733625,1933.4375,902.2708333333334,29816.441958333333
23701.25,1680.418625,1682.78875,260.71375,237.01250000000002,22300.506125,27562.183624999998,1975.1041666666667,921.7152777777778,30459.003069444443
24201.25,1715.868625,1718.28875,266.21375,242.01250000000002,22770.956125,28143.633625,2016.7708333333333,941.1597222222222,31101.564180555553
24701.25,1751.318625,1753.78875,271.71375,247.01250000000002,23241.406124999998,28725.083625,2058.4375,960.6041666666666,31744.125291666667
25201.25,1786.7686250000002,1789.28875,277.21375,252.01250000000002,23711.856125000002,29306.533625,2100.1041666666665,980.0486111111111,32386.686402777777
25701.25,1822.2186250000002,1824.78875,282.71375,257.0125,24182.306125,29887.983625,2141.7708333333335,999.4930555555555,33029.24751388889
26201.25,1857.668625,1860.28875,288.21375,262.0125,24652.756125,30469.433624999998,2183.4375,1018.9375,33671.808625
26701.25,1893.118625,1895.78875,293.71375,267.0125,25123.206125,31050.883625,2225.1041666666665,1038.3819444444443,34314.36973611111
27201.25,1928.568625,1931.28875,299.21375,272.0125,25593.656124999998,31632.333625,2266.7708333333335,1057.826388888889,34956.930847222226
27701.25,1964.0186250000002,1966.78875,304.71375,277.0125,26064.106125000002,32213.783625,2308.4375,1077.2708333333333,35599.49195833333
28201.25,1999.4686250000002,2002.2887499999997,310.21375,282.0125,26534.556125,32795.233625,2350.1041666666665,1096.7152777777778,36242.053069444446
28701.25,2034.9186250000002,2037.7887499999997,315.71375,287.0125,27005.006125,33376.683625,2391.7708333333335,1116.1597222222222,36884.61418055555
29201.25,2070.368625,2073.2887499999997,321.21375,292.0125,27475.456125,33958.133624999995,2433.4375,1135.6041666666667,37527.17529166666
29701.25,2105.8186250000003,2108.7887499999997,326.71375,297.0125,27945.906124999998,34539.583625,2475.1041666666665,1155.048611111111,38169.73640277777
30201.25,2141.268625,2144.2887499999997,332.21375,302.0125,28416.356125000002,35121.033625000004,2516.7708333333335,1174.4930555555557,38812.297513888894
30701.25,2176.718625,2179.7887499999997,337.71375,307.0125,28886.806125,35702.483625,2558.4375,1193.9375,39454.858625
31201.25,2212.1686250000002,2215.2887499999997,343.21375,312.0125,29357.256125,36283.933625,2600.1041666666665,1213.3819444444443,40097.41973611111
31701.25,2247.618625,2250.7887499999997,348.71375,317.0125,29827.706125,36865.383625,2641.7708333333335,1232.826388888889,40739.98084722223
32201.25,2283.0686250000003,2286.2887499999997,354.21375,322.0125,30298.156124999998,37446.833625,2683.4375,1252.2708333333333,41382.541958333335
32701.25,2318.518625,2321.7887499999997,359.71375,327.0125,30768.606125000002,38028.283625,2725.1041666666665,1271.7152777777778,42025.10306944444
33201.25,2353.968625,2357.2887499999997,365.21375,332.0125,31239.056125,38609.733625,2766.7708333333335,1291.1597222222222,42667.664180555556
