rama,estado,ocupados,ocupados_millones
Agrícultura y Ganadería,Formal,37616.0765358508,0.0376160765358508
Agrícultura y Ganadería,Informal,285252.001912432,0.28525200191243205
Industrias 2/,Formal,378317.094445501,0.378317094445501
Industrias 2/,Informal,162902.792350386,0.16290279235038602
Electricidad y Agua,Formal,32549.3094442929,0.0325493094442929
Electricidad y Agua,Informal,1795.57237561893,0.00179557237561893
Construcción,Formal,61955.4545849447,0.061955454584944704
Construcción,Informal,362535.066136149,0.362535066136149
Comercio,Formal,431445.873182323,0.431445873182323
Comercio,Informal,616585.948812088,0.616585948812088
"Hoteles, Bares y Restaurantes",Formal,210675.944251598,0.210675944251598
"Hoteles, Bares y Restaurantes",Informal,237819.581912348,0.23781958191234798
Transporte y Comunicaciones,Formal,105142.040458303,0.105142040458303
Transporte y Comunicaciones,Informal,253945.690210315,0.253945690210315
Intermediación Financieras y Seguros,Formal,106170.828045851,0.106170828045851
Intermediación Financieras y Seguros,Informal,19983.5895642993,0.019983589564299298
Administración Pública y Defensa,Formal,319148.526308994,0.319148526308994
Administración Pública y Defensa,Informal,0,0
Enseñanza,Formal,335807.057690913,0.33580705769091296
Enseñanza,Informal,14553.9907682651,0.014553990768265098
Salud y Asistencia Social,Formal,177962.028056855,0.177962028056855
Salud y Asistencia Social,Informal,7083.24357779475,0.00708324357779475
Otros Servicios,Formal,392695.830342927,0.39269583034292704
Otros Servicios,Informal,407994.596307273,0.407994596307273
