pais,codigo,anio,valor,grupo,indice_1990
Dominican Republic,DOM,2025,24543.3421843415,República Dominicana,334.93801262896
Dominican Republic,DOM,2024,24229.8894872915,República Dominicana,330.6603872503717
Dominican Republic,DOM,2023,23282.4895071054,República Dominicana,317.73141188324763
Dominican Republic,DOM,2022,22986.95808105,República Dominicana,313.69835445492606
Dominican Republic,DOM,2021,22053.4589869955,República Dominicana,300.9590816613035
Dominican Republic,DOM,2020,19545.4099552943,República Dominicana,266.7322452368035
Dominican Republic,DOM,2019,21451.286441995,República Dominicana,292.7413550791892
Dominican Republic,DOM,2018,20662.848586153,República Dominicana,281.98170358047696
Dominican Republic,DOM,2017,19501.8743054078,República Dominicana,266.13812305319976
Dominican Republic,DOM,2016,18968.9752386179,República Dominicana,258.86575757738814
Dominican Republic,DOM,2015,17973.1870256815,República Dominicana,245.27643781257427
Dominican Republic,DOM,2014,16993.587444403,República Dominicana,231.90804102043282
Dominican Republic,DOM,2013,16054.7677297656,República Dominicana,219.09615879690443
Dominican Republic,DOM,2012,15487.2776356321,República Dominicana,211.3517365870816
Dominican Republic,DOM,2011,15258.0858148503,República Dominicana,208.224002296173
Dominican Republic,DOM,2010,14975.0010126958,República Dominicana,204.36080141966065
Dominican Republic,DOM,2009,13992.4103270189,República Dominicana,190.95158563248413
Dominican Republic,DOM,2008,14030.1411084465,República Dominicana,191.46648995363893
Dominican Republic,DOM,2007,13754.9212674095,República Dominicana,187.7106206062359
Dominican Republic,DOM,2006,12961.9183632133,República Dominicana,176.88867081856912
Dominican Republic,DOM,2005,12022.5080544053,República Dominicana,164.06872887618562
Dominican Republic,DOM,2004,11131.2709216332,República Dominicana,151.9061964961308
Dominican Republic,DOM,2003,11000.8684059352,República Dominicana,150.12661981412654
Dominican Republic,DOM,2002,11313.0690271273,República Dominicana,154.38715836744234
Dominican Republic,DOM,2001,10991.1363420488,República Dominicana,149.9938083122371
Dominican Republic,DOM,2000,10896.3184155964,República Dominicana,148.6998473019951
Dominican Republic,DOM,1999,10582.0775939337,República Dominicana,144.41146654667378
Dominican Republic,DOM,1998,10150.4460178993,República Dominicana,138.52107797697428
Dominican Republic,DOM,1997,9671.14817881707,República Dominicana,131.98019758367656
Dominican Republic,DOM,1996,9036.88352149896,República Dominicana,123.32451645405227
Dominican Republic,DOM,1995,8685.01648557062,República Dominicana,118.52265838442592
Dominican Republic,DOM,1994,8372.07169739279,República Dominicana,114.25196433519632
Dominican Republic,DOM,1993,8318.49178576126,República Dominicana,113.52077014884996
Dominican Republic,DOM,1992,7900.76809265865,República Dominicana,107.8201796365651
Dominican Republic,DOM,1991,7246.24670144222,República Dominicana,98.8880589681324
Dominican Republic,DOM,1990,7327.72670133751,República Dominicana,100
Upper middle income,,2025,21748.8781857464,Ingreso mediano alto,374.3082188805262
Upper middle income,,2024,20967.3589459748,Ingreso mediano alto,360.85791251707036
Upper middle income,,2023,20194.4437195401,Ingreso mediano alto,347.55568518922524
Upper middle income,,2022,19378.7095594057,Ingreso mediano alto,333.51652427470884
Upper middle income,,2021,18796.441497948,Ingreso mediano alto,323.4954225363173
Upper middle income,,2020,17611.7434455076,Ingreso mediano alto,303.1062229586208
Upper middle income,,2019,17882.2048457814,Ingreso mediano alto,307.7609883284855
Upper middle income,,2018,17308.0850217702,Ingreso mediano alto,297.88012151253764
Upper middle income,,2017,16662.4284387368,Ingreso mediano alto,286.7680740984276
Upper middle income,,2016,15979.55362127,Ingreso mediano alto,275.0154837137024
Upper middle income,,2015,15424.5615868064,Ingreso mediano alto,265.46381497296267
Upper middle income,,2014,14947.2403476526,Ingreso mediano alto,257.2488964224235
Upper middle income,,2013,14423.8295348435,Ingreso mediano alto,248.24075506395195
Upper middle income,,2012,13822.3046874476,Ingreso mediano alto,237.88823516300826
Upper middle income,,2011,13236.515304434,Ingreso mediano alto,227.8065298574609
Upper middle income,,2010,12531.0895213844,Ingreso mediano alto,215.66582696002385
Upper middle income,,2009,11694.2221159018,Ingreso mediano alto,201.26295315154155
Upper middle income,,2008,11494.8903381638,Ingreso mediano alto,197.83236137323556
Upper middle income,,2007,10958.7142005081,Ingreso mediano alto,188.60452288988452
Upper middle income,,2006,10156.8285798117,Ingreso mediano alto,174.8037017226812
Upper middle income,,2005,9482.47316024402,Ingreso mediano alto,163.19773410287843
Upper middle income,,2004,8939.4315710973,Ingreso mediano alto,153.85173803468703
Upper middle income,,2003,8370.32235025016,Ingreso mediano alto,144.0571060088667
Upper middle income,,2002,7995.26895874639,Ingreso mediano alto,137.6022642574939
Upper middle income,,2001,7707.83336797882,Ingreso mediano alto,132.6553652448546
Upper middle income,,2000,7534.46601304186,Ingreso mediano alto,129.67163315144435
Upper middle income,,1999,7193.22707987242,Ingreso mediano alto,123.79875381502629
Upper middle income,,1998,7065.40946908576,Ingreso mediano alto,121.59895381492908
Upper middle income,,1997,7003.13563219198,Ingreso mediano alto,120.52719237640838
Upper middle income,,1996,6714.8088077637,Ingreso mediano alto,115.56495482164763
Upper middle income,,1995,6432.68540027582,Ingreso mediano alto,110.70948093194137
Upper middle income,,1994,6270.83865713217,Ingreso mediano alto,107.92402387800392
Upper middle income,,1993,6118.06189336087,Ingreso mediano alto,105.29466534993769
Upper middle income,,1992,5937.92673470106,Ingreso mediano alto,102.19445623478876
Upper middle income,,1991,5832.26269411493,Ingreso mediano alto,100.37592938969225
Upper middle income,,1990,5810.41961910228,Ingreso mediano alto,100
