pais,codigo,anio,valor,grupo,indice,metrica
Dominican Republic,DOM,1991,22291.4760166624,República Dominicana,100,Productividad por trabajador
Upper middle income,,1991,12542.6892856567,Ingreso mediano alto,99.99999999999999,Productividad por trabajador
Dominican Republic,DOM,1992,23979.5536413705,República Dominicana,107.5727494377057,Productividad por trabajador
Upper middle income,,1992,12769.2037335325,Ingreso mediano alto,101.80594801255927,Productividad por trabajador
Dominican Republic,DOM,1993,24930.3827193436,República Dominicana,111.83818738924545,Productividad por trabajador
Upper middle income,,1993,13197.2432041251,Ingreso mediano alto,105.2186090523419,Productividad por trabajador
Dominican Republic,DOM,1994,24931.0667486017,República Dominicana,111.8412559579557,Productividad por trabajador
Upper middle income,,1994,13529.9151498083,Ingreso mediano alto,107.8709265745788,Productividad por trabajador
Dominican Republic,DOM,1995,25693.8682509187,República Dominicana,115.26319850562199,Productividad por trabajador
Upper middle income,,1995,13935.4666080972,Ingreso mediano alto,111.1042958230116,Productividad por trabajador
Dominican Republic,DOM,1996,26522.2212547096,República Dominicana,118.97920637863912,Productividad por trabajador
Upper middle income,,1996,14559.0308698199,Ingreso mediano alto,116.07583141255844,Productividad por trabajador
Dominican Republic,DOM,1997,28037.154446674,República Dominicana,125.77522648440521,Productividad por trabajador
Upper middle income,,1997,15138.6360015764,Ingreso mediano alto,120.69689088837046,Productividad por trabajador
Dominican Republic,DOM,1998,29129.7933728025,República Dominicana,130.6768262049072,Productividad por trabajador
Upper middle income,,1998,15245.7869262017,Ingreso mediano alto,121.55118076341212,Productividad por trabajador
Dominican Republic,DOM,1999,30082.3318661584,República Dominicana,134.9499326274873,Productividad por trabajador
Upper middle income,,1999,15518.3062481882,Ingreso mediano alto,123.72391514102397,Productividad por trabajador
Dominican Republic,DOM,2000,30768.929108084,República Dominicana,138.03002136370372,Productividad por trabajador
Upper middle income,,2000,16206.4669093312,Ingreso mediano alto,129.21046308517143,Productividad por trabajador
Dominican Republic,DOM,2001,31814.0647847752,República Dominicana,142.71852057259406,Productividad por trabajador
Upper middle income,,2001,16529.3784807959,Ingreso mediano alto,131.78496337064024,Productividad por trabajador
Dominican Republic,DOM,2002,32225.7851469485,República Dominicana,144.56550621798402,Productividad por trabajador
Upper middle income,,2002,17110.9304382202,Ingreso mediano alto,136.42154444332405,Productividad por trabajador
Dominican Republic,DOM,2003,31708.1951609984,República Dominicana,142.2435873573253,Productividad por trabajador
Upper middle income,,2003,17824.7077199533,Ingreso mediano alto,142.1123278588819,Productividad por trabajador
Dominican Republic,DOM,2004,31522.0653681619,República Dominicana,141.40860544451982,Productividad por trabajador
Upper middle income,,2004,18888.9723498064,Ingreso mediano alto,150.59746693563596,Productividad por trabajador
Dominican Republic,DOM,2005,34032.3770695378,República Dominicana,152.6699131277773,Productividad por trabajador
Upper middle income,,2005,19925.9620841774,Ingreso mediano alto,158.86514949360907,Productividad por trabajador
Dominican Republic,DOM,2006,35620.2739197053,República Dominicana,159.79324963981708,Productividad por trabajador
Upper middle income,,2006,21204.0905131348,Ingreso mediano alto,169.05537584657318,Productividad por trabajador
Dominican Republic,DOM,2007,37379.6964146781,República Dominicana,167.68605356925482,Productividad por trabajador
Upper middle income,,2007,22749.1747765629,Ingreso mediano alto,181.373980160522,Productividad por trabajador
